Disk Power (W), Time (S), 
20.544, 400.419132, 
19.884, 401.419023, 
19.655, 402.419034, 
19.642, 403.419056, 
20.441, 404.419066, 
18.846, 405.419083, 
19.194, 406.419080, 
19.475, 407.419211, 
20.219, 408.419110, 
19.600, 409.419126, 
18.662, 410.419158, 
20.512, 411.419161, 
19.694, 412.419227, 
20.274, 413.419186, 
18.727, 414.419214, 
20.412, 415.419277, 
19.790, 416.419210, 
19.845, 417.419215, 
19.748, 418.419237, 
18.811, 419.419253, 
19.346, 420.419275, 
19.697, 421.419249, 
18.843, 422.419289, 
19.310, 423.419307, 
20.254, 424.419315, 
19.168, 425.419361, 
18.959, 426.419357, 
19.259, 427.419357, 
19.729, 428.420381, 
19.294, 429.420415, 
19.397, 430.420386, 
19.939, 431.420410, 
18.869, 432.420429, 
19.397, 433.420423, 
19.030, 434.420400, 
18.875, 435.420482, 
20.084, 436.420495, 
19.201, 437.420487, 
19.874, 438.420486, 
20.100, 439.420512, 
17.860, 440.420480, 
20.100, 441.420522, 
19.861, 442.420532, 
20.177, 443.420559, 
20.109, 444.420554, 
18.530, 445.420561, 
18.917, 446.420682, 
17.602, 447.420592, 
19.681, 448.420628, 
19.890, 449.420621, 
20.522, 450.420704, 
18.772, 451.420677, 
20.847, 452.420654, 
18.985, 453.420733, 
19.533, 454.420680, 
18.749, 455.420682, 
20.100, 456.420691, 
19.394, 457.420700, 
20.048, 458.420740, 
19.748, 459.420735, 
19.194, 460.420767, 
19.639, 461.420764, 
19.130, 462.420833, 
19.922, 463.421793, 
17.647, 464.421843, 
20.654, 465.421903, 
18.746, 466.421838, 
19.661, 467.421849, 
19.671, 468.421961, 
19.555, 469.421872, 
19.835, 470.421885, 
20.345, 471.421895, 
19.616, 472.421903, 
19.429, 473.421899, 
19.739, 474.421926, 
17.676, 475.421971, 
19.123, 476.422065, 
19.201, 477.421952, 
20.122, 478.421972, 
20.061, 479.421990, 
19.781, 480.424725, 
18.656, 481.422014, 
18.759, 482.422029, 
18.869, 483.422040, 
17.934, 484.422026, 
20.232, 485.422156, 
17.841, 486.422079, 
20.567, 487.422116, 
18.856, 488.422107, 
20.412, 489.422197, 
19.023, 490.422121, 
19.484, 491.422140, 
20.319, 492.422189, 
19.178, 493.422492, 
20.216, 494.422177, 
18.037, 495.422173, 
