GPU_Power(W),Time(S), 
18,8.356038, 
18,8.371843, 
18,8.387646, 
18,8.403451, 
18,8.419264, 
18,8.435291, 
18,8.45112, 
18,8.466867, 
18,8.482716, 
18,8.498545, 
18,8.514655, 
18,8.531425, 
18,8.547583, 
18,8.563432, 
18,8.579277, 
18,8.59513, 
18,8.610973, 
18,8.627085, 
18,8.64295, 
18,8.658822, 
18,8.67467, 
18,8.690522, 
18,8.706356, 
18,8.722201, 
18,8.738048, 
18,8.753894, 
18,8.76981, 
18,8.785718, 
18,8.801564, 
18,8.817463, 
18,8.833499, 
18,8.849413, 
18,8.865241, 
18,8.881121, 
18,8.89697, 
18,8.912813, 
18,8.928661, 
18,8.94449, 
18,8.960334, 
18,8.976183, 
18,8.992028, 
18,9.007779, 
18,9.023591, 
18,9.03948, 
18,9.055347, 
18,9.071161, 
18,9.087007, 
18,9.102879, 
18,9.118698, 
18,9.13451, 
18,9.150296, 
18,9.16609, 
18,9.182146, 
18,9.197925, 
18,9.21376, 
18,9.229594, 
18,9.245446, 
18,9.261314, 
18,9.277128, 
18,9.292956, 
18,9.308796, 
18,9.32463, 
18,9.340468, 
18,9.356406, 
18,9.372206, 
18,9.388069, 
18,9.403949, 
18,9.419789, 
18,9.435629, 
18,9.451477, 
18,9.467318, 
18,9.483159, 
18,9.499011, 
18,9.514931, 
18,9.53078, 
18,9.548224, 
18,9.564282, 
18,9.580125, 
18,9.595979, 
18,9.611819, 
18,9.62766, 
18,9.643506, 
18,9.659347, 
18,9.675188, 
18,9.691015, 
18,9.706861, 
18,9.722702, 
18,9.738552, 
18,9.754359, 
18,9.77035, 
18,9.7862, 
18,9.802024, 
18,9.817859, 
18,9.833704, 
18,9.849594, 
18,9.865459, 
18,9.88131, 
18,9.897062, 
18,9.912859, 
18,9.928693, 
18,9.944568, 
18,9.960391, 
18,9.976406, 
18,9.992245, 
18,10.008093, 
18,10.023918, 
18,10.039666, 
18,10.055463, 
18,10.071279, 
18,10.087105, 
18,10.102948, 
18,10.118796, 
18,10.134644, 
18,10.150486, 
18,10.166329, 
18,10.182824, 
18,10.198668, 
18,10.214512, 
18,10.230674, 
18,10.246518, 
18,10.262366, 
18,10.278218, 
18,10.294048, 
18,10.309899, 
18,10.325781, 
18,10.34163, 
18,10.357502, 
18,10.373367, 
18,10.389211, 
18,10.405091, 
18,10.420941, 
18,10.437024, 
18,10.452842, 
18,10.468689, 
18,10.484532, 
18,10.500378, 
18,10.51621, 
18,10.532052, 
18,10.549305, 
18,10.565165, 
18,10.580947, 
18,10.596934, 
18,10.61278, 
18,10.628623, 
18,10.644454, 
18,10.660303, 
18,10.676145, 
18,10.691973, 
18,10.707799, 
