GPU_Power(W),Time(S), 
19,8.17575, 
19,8.191517, 
19,8.207315, 
19,8.223092, 
19,8.238897, 
19,8.254634, 
19,8.270386, 
19,8.286475, 
19,8.302258, 
19,8.318045, 
19,8.333935, 
19,8.351626, 
19,8.367359, 
19,8.383099, 
19,8.398855, 
19,8.414654, 
19,8.430369, 
19,8.446139, 
19,8.461893, 
19,8.478097, 
19,8.493832, 
19,8.509631, 
19,8.525359, 
19,8.541105, 
19,8.556854, 
19,8.572679, 
19,8.58842, 
19,8.604189, 
19,8.619931, 
19,8.635681, 
19,8.65147, 
19,8.667265, 
19,8.682998, 
19,8.698766, 
19,8.714536, 
19,8.730359, 
19,8.746187, 
19,8.762047, 
19,8.777768, 
19,8.79352, 
19,8.80928, 
19,8.825097, 
19,8.840839, 
19,8.856616, 
19,8.872418, 
19,8.888521, 
19,8.904294, 
19,8.920052, 
19,8.935816, 
19,8.951611, 
19,8.967394, 
19,8.983189, 
19,8.999032, 
19,9.01475, 
19,9.030503, 
19,9.046321, 
19,9.062119, 
19,9.078331, 
19,9.094101, 
19,9.109811, 
19,9.125572, 
19,9.141389, 
19,9.15724, 
19,9.173078, 
19,9.188825, 
19,9.204612, 
19,9.220396, 
19,9.236201, 
19,9.251922, 
19,9.267661, 
19,9.283634, 
19,9.29941, 
19,9.315143, 
19,9.330969, 
19,9.346681, 
19,9.364146, 
19,9.379967, 
19,9.395812, 
19,9.411727, 
19,9.427483, 
19,9.44328, 
19,9.459162, 
19,9.475292, 
19,9.491078, 
19,9.506906, 
19,9.52263, 
19,9.538409, 
19,9.554204, 
19,9.569997, 
19,9.585825, 
19,9.60159, 
19,9.617313, 
19,9.633074, 
19,9.648851, 
19,9.664735, 
19,9.68072, 
19,9.696518, 
19,9.712447, 
19,9.728212, 
19,9.744053, 
19,9.759848, 
19,9.775573, 
19,9.79131, 
19,9.807071, 
19,9.822864, 
19,9.838577, 
19,9.854353, 
19,9.870295, 
19,9.88624, 
19,9.90195, 
19,9.917749, 
19,9.933445, 
19,9.949194, 
19,9.964921, 
19,9.980744, 
19,9.996523, 
19,10.01237, 
19,10.028114, 
19,10.043871, 
19,10.059607, 
19,10.075389, 
19,10.091095, 
19,10.10686, 
19,10.122616, 
19,10.138416, 
19,10.154295, 
19,10.170067, 
19,10.185808, 
19,10.201585, 
19,10.217596, 
19,10.233446, 
19,10.249291, 
19,10.265116, 
19,10.28089, 
19,10.296714, 
19,10.314244, 
19,10.330052, 
19,10.345801, 
19,10.361513, 
19,10.377291, 
19,10.393137, 
19,10.409132, 
19,10.424847, 
19,10.440654, 
19,10.456364, 
19,10.472159, 
19,10.488477, 
19,10.504283, 
19,10.519992, 
19,10.535738, 
19,10.551522, 
19,10.567337, 
19,10.583192, 
19,10.599019, 
19,10.614735, 
19,10.630504, 
19,10.646216, 
19,10.661988, 
19,10.677866, 
19,10.693629, 
19,10.709418, 
19,10.725212, 
19,10.741023, 
19,10.756815, 
19,10.772558, 
19,10.788363, 
19,10.804138, 
19,10.82053, 
19,10.836255, 
19,10.852047, 
19,10.867846, 
19,10.883937, 
19,10.899725, 
19,10.915482, 
19,10.931253, 
19,10.947033, 
19,10.962808, 
19,10.978587, 
19,10.99442, 
19,11.010149, 
19,11.025922, 
19,11.041711, 
19,11.057511, 
19,11.073368, 
19,11.089247, 
19,11.104993, 
19,11.120748, 
19,11.136579, 
19,11.152461, 
19,11.168171, 
19,11.183925, 
19,11.199623, 
19,11.215394, 
19,11.231159, 
19,11.246974, 
19,11.262688, 
19,11.27882, 
19,11.294637, 
19,11.310449, 
19,11.328354, 
19,11.344119, 
19,11.359901, 
19,11.375654, 
19,11.391369, 
19,11.407136, 
19,11.422992, 
19,11.438755, 
19,11.454512, 
19,11.470297, 
19,11.486411, 
19,11.502206, 
19,11.51793, 
19,11.533707, 
19,11.549465, 
19,11.565328, 
19,11.581161, 
19,11.596884, 
19,11.612667, 
19,11.628488, 
19,11.64421, 
19,11.660005, 
19,11.676053, 
19,11.69182, 
19,11.707593, 
19,11.72341, 
19,11.739285, 
19,11.755031, 
19,11.770782, 
19,11.786553, 
19,11.802291, 
19,11.818087, 
19,11.833828, 
19,11.849585, 
19,11.865367, 
19,11.881372, 
19,11.897264, 
19,11.913088, 
19,11.928887, 
19,11.944593, 
19,11.960355, 
19,11.976117, 
19,11.991849, 
19,12.007584, 
19,12.023352, 
19,12.039136, 
19,12.054919, 
19,12.070741, 
19,12.08673, 
19,12.102454, 
19,12.118231, 
19,12.134004, 
19,12.149827, 
19,12.165711, 
19,12.181494, 
19,12.197222, 
19,12.212995, 
19,12.228762, 
19,12.244574, 
19,12.260307, 
19,12.276061, 
19,12.291877, 
19,12.307729, 
19,12.323644, 
18,12.341897, 
18,12.357609, 
18,12.373374, 
18,12.389103, 
18,12.404878, 
18,12.420816, 
18,12.43663, 
18,12.452354, 
18,12.468094, 
18,12.48407, 
18,12.499893, 
18,12.515617, 
18,12.531404, 
18,12.547169, 
18,12.562946, 
18,12.578669, 
18,12.594456, 
18,12.610163, 
18,12.625935, 
18,12.641714, 
18,12.657497, 
18,12.673319, 
18,12.689163, 
18,12.704883, 
18,12.720659, 
18,12.736444, 
18,12.752264, 
18,12.767989, 
18,12.783745, 
18,12.799508, 
18,12.815305, 
18,12.831027, 
18,12.846816, 
18,12.862555, 
18,12.878767, 
18,12.894541, 
18,12.910341, 
18,12.926216, 
18,12.941968, 
18,12.957728, 
18,12.97353, 
18,12.989354, 
18,13.005176, 
18,13.020966, 
18,13.036749, 
18,13.052527, 
18,13.068342, 
18,13.084132, 
18,13.099873, 
18,13.115624, 
18,13.131453, 
18,13.147252, 
18,13.163064, 
18,13.178852, 
18,13.194744, 
18,13.210503, 
18,13.226429, 
18,13.242205, 
18,13.258051, 
18,13.273789, 
18,13.289728, 
18,13.305498, 
18,13.321306, 
18,13.337191, 
19,13.354888, 
19,13.370655, 
19,13.386364, 
19,13.402372, 
19,13.418147, 
19,13.433989, 
19,13.449719, 
19,13.465501, 
19,13.481204, 
19,13.496982, 
19,13.512806, 
19,13.528585, 
19,13.544322, 
19,13.560121, 
19,13.575953, 
19,13.591773, 
19,13.607779, 
19,13.623539, 
19,13.639274, 
19,13.655022, 
19,13.670731, 
19,13.686501, 
19,13.702198, 
19,13.717966, 
19,13.733707, 
19,13.749491, 
19,13.765358, 
19,13.781207, 
19,13.796929, 
19,13.813318, 
19,13.829076, 
19,13.844875, 
19,13.860656, 
19,13.876596, 
19,13.892356, 
19,13.908138, 
19,13.923954, 
19,13.939818, 
19,13.955555, 
19,13.97132, 
19,13.987112, 
19,14.002911, 
19,14.018759, 
19,14.034532, 
19,14.050274, 
19,14.066051, 
19,14.082019, 
19,14.097816, 
19,14.113656, 
19,14.129408, 
19,14.145172, 
19,14.160967, 
19,14.176775, 
19,14.192556, 
19,14.208306, 
19,14.22409, 
19,14.23987, 
19,14.255694, 
19,14.271562, 
19,14.287496, 
19,14.303251, 
19,14.319072, 
19,14.334868, 
19,14.350684, 
18,14.367922, 
18,14.383644, 
18,14.399408, 
18,14.415284, 
18,14.431547, 
18,14.447332, 
18,14.463093, 
18,14.478833, 
18,14.494589, 
18,14.510375, 
18,14.526166, 
18,14.541981, 
18,14.557759, 
18,14.573491, 
18,14.589282, 
18,14.605055, 
18,14.620866, 
18,14.636997, 
18,14.652784, 
18,14.668533, 
18,14.684303, 
18,14.70003, 
18,14.71578, 
18,14.731492, 
18,14.747284, 
18,14.763116, 
18,14.778934, 
18,14.794801, 
18,14.810606, 
18,14.82632, 
18,14.842115, 
18,14.857893, 
18,14.873722, 
18,14.889993, 
18,14.905777, 
18,14.921505, 
18,14.937285, 
18,14.953001, 
18,14.968806, 
18,14.984536, 
18,15.000326, 
18,15.016118, 
18,15.031931, 
18,15.04778, 
18,15.063583, 
18,15.079519, 
18,15.095293, 
18,15.11105, 
18,15.126865, 
18,15.142589, 
18,15.158354, 
18,15.174085, 
18,15.189889, 
18,15.205702, 
18,15.221539, 
18,15.237251, 
18,15.25299, 
18,15.268758, 
18,15.285034, 
18,15.300806, 
19,15.317858, 
19,15.333576, 
19,15.349926, 
19,15.376248, 
19,15.392738, 
23,15.410899, 
23,15.426684, 
23,15.442392, 
23,15.458256, 
23,15.474118, 
23,15.489848, 
23,15.505496, 
54,15.522931, 
54,15.538589, 
54,15.554299, 
54,15.570004, 
54,15.585721, 
54,15.601406, 
64,15.618814, 
64,15.634503, 
64,15.650331, 
64,15.666075, 
64,15.681828, 
64,15.697527, 
68,15.71499, 
68,15.731053, 
68,15.746861, 
68,15.762526, 
68,15.778254, 
68,15.793983, 
70,15.811727, 
70,15.827425, 
70,15.843096, 
70,15.85888, 
70,15.874597, 
70,15.890318, 
70,15.906083, 
71,15.923279, 
71,15.939083, 
71,15.954813, 
71,15.97053, 
71,15.986315, 
71,16.002007, 
71,16.019319, 
71,16.034991, 
71,16.050715, 
71,16.066779, 
71,16.082536, 
71,16.09828, 
71,16.115364, 
71,16.131079, 
71,16.146781, 
71,16.162573, 
71,16.178285, 
71,16.193972, 
71,16.2119, 
71,16.227619, 
71,16.243346, 
71,16.258995, 
71,16.274755, 
71,16.290406, 
71,16.306091, 
71,16.32357, 
71,16.339326, 
71,16.35505, 
71,16.37075, 
71,16.386581, 
71,16.402281, 
71,16.419494, 
71,16.43515, 
71,16.450864, 
71,16.466515, 
71,16.482223, 
71,16.497983, 
71,16.515579, 
71,16.531397, 
71,16.547048, 
71,16.56276, 
71,16.578476, 
71,16.594229, 
71,16.611851, 
71,16.627521, 
71,16.64325, 
71,16.659025, 
71,16.674694, 
71,16.690437, 
71,16.706086, 
71,16.723662, 
71,16.739371, 
71,16.755074, 
71,16.770834, 
71,16.786479, 
71,16.802158, 
71,16.819456, 
71,16.835172, 
71,16.851085, 
71,16.866853, 
71,16.882518, 
71,16.898217, 
71,16.915853, 
71,16.93154, 
71,16.947297, 
71,16.963113, 
71,16.978842, 
71,16.994566, 
71,17.011701, 
71,17.02751, 
71,17.043167, 
71,17.058859, 
71,17.07459, 
71,17.090375, 
71,17.106224, 
72,17.123755, 
72,17.139411, 
72,17.155135, 
72,17.170868, 
72,17.186595, 
72,17.20235, 
72,17.219721, 
72,17.235405, 
72,17.251158, 
72,17.266872, 
72,17.282656, 
72,17.298313, 
72,17.315681, 
72,17.331325, 
72,17.347064, 
72,17.362707, 
72,17.37841, 
72,17.394051, 
71,17.411754, 
71,17.427566, 
71,17.443273, 
71,17.459013, 
71,17.474859, 
71,17.490535, 
71,17.506223, 
72,17.523572, 
72,17.539277, 
72,17.555087, 
72,17.570799, 
72,17.586522, 
72,17.602257, 
72,17.619551, 
72,17.635287, 
72,17.650969, 
72,17.666655, 
72,17.682298, 
72,17.698041, 
72,17.715348, 
72,17.731179, 
72,17.74682, 
72,17.762499, 
72,17.778221, 
72,17.793966, 
72,17.811799, 
72,17.827478, 
72,17.843194, 
72,17.858853, 
72,17.874558, 
72,17.890201, 
72,17.905979, 
72,17.923184, 
72,17.938881, 
72,17.954596, 
72,17.970348, 
72,17.986191, 
72,18.001838, 
72,18.019286, 
72,18.035021, 
72,18.050718, 
72,18.06645, 
72,18.082248, 
72,18.098043, 
72,18.115306, 
72,18.131007, 
72,18.146658, 
72,18.162448, 
72,18.178126, 
72,18.193819, 
72,18.21187, 
72,18.227599, 
72,18.24329, 
72,18.258989, 
72,18.274685, 
72,18.290434, 
72,18.306132, 
72,18.323472, 
72,18.339262, 
72,18.354961, 
72,18.370673, 
72,18.386467, 
72,18.402219, 
72,18.419365, 
72,18.435136, 
72,18.450818, 
72,18.466504, 
72,18.482158, 
72,18.497893, 
72,18.515536, 
72,18.53127, 
72,18.546921, 
72,18.562626, 
72,18.578316, 
72,18.594053, 
72,18.6118, 
72,18.627484, 
72,18.643155, 
72,18.658866, 
72,18.674619, 
72,18.690414, 
72,18.706256, 
72,18.72355, 
72,18.739329, 
72,18.755009, 
72,18.770745, 
72,18.786596, 
72,18.80225, 
72,18.819599, 
72,18.835345, 
72,18.851109, 
72,18.866886, 
72,18.88255, 
72,18.898246, 
72,18.915645, 
72,18.931377, 
72,18.947113, 
72,18.962881, 
72,18.978591, 
72,18.994258, 
72,19.011909, 
72,19.027605, 
72,19.043515, 
72,19.059158, 
72,19.074837, 
72,19.090542, 
72,19.106258, 
72,19.123732, 
72,19.139383, 
72,19.155098, 
72,19.170817, 
72,19.186514, 
72,19.202395, 
72,19.219768, 
72,19.235469, 
72,19.251108, 
72,19.266784, 
72,19.282466, 
72,19.298204, 
72,19.315437, 
72,19.331135, 
72,19.346784, 
72,19.362523, 
72,19.378213, 
72,19.39427, 
72,19.411935, 
72,19.427595, 
72,19.443379, 
72,19.459062, 
72,19.475096, 
72,19.490813, 
72,19.506498, 
72,19.523805, 
72,19.539526, 
72,19.555266, 
72,19.571016, 
72,19.586685, 
72,19.602399, 
72,19.619745, 
72,19.635457, 
72,19.65129, 
72,19.667001, 
72,19.68269, 
72,19.698486, 
72,19.71584, 
72,19.731593, 
72,19.74746, 
72,19.763126, 
72,19.778831, 
72,19.794544, 
72,19.811935, 
72,19.82775, 
72,19.843666, 
72,19.859336, 
72,19.875053, 
72,19.890797, 
72,19.906569, 
72,19.923822, 
72,19.939518, 
72,19.955216, 
72,19.970934, 
72,19.986675, 
72,20.002483, 
72,20.0199, 
72,20.035549, 
72,20.051234, 
72,20.066901, 
72,20.082652, 
72,20.098318, 
72,20.115751, 
