CPU Power (W), DRAM Power (W), Time (S)
58.97, 12.21, 15.746683, 
57.33, 12.20, 15.767446, 
57.52, 12.70, 15.787843, 
58.24, 12.44, 15.808614, 
56.57, 12.79, 15.828785, 
59.15, 12.22, 15.849780, 
57.42, 12.60, 15.870041, 
57.82, 12.64, 15.890641, 
55.63, 12.27, 15.911869, 
58.74, 12.11, 15.932055, 
57.87, 12.67, 15.953231, 
58.10, 12.55, 15.973044, 
55.44, 12.46, 15.994148, 
57.86, 12.41, 16.014391, 
59.73, 12.62, 16.034992, 
55.69, 12.35, 16.056141, 
58.74, 12.07, 16.076467, 
57.80, 12.83, 16.097114, 
56.95, 12.39, 16.117506, 
56.07, 12.70, 16.138518, 
58.15, 12.61, 16.159116, 
58.98, 12.57, 16.179479, 
56.08, 12.67, 16.200600, 
58.24, 12.34, 16.220938, 
57.77, 12.74, 16.242088, 
57.52, 12.74, 16.262099, 
56.39, 12.41, 16.283212, 
59.01, 12.56, 16.303780, 
54.67, 12.69, 16.324695, 
59.09, 12.37, 16.344842, 
55.38, 12.81, 16.365877, 
58.55, 12.26, 16.386477, 
59.17, 12.67, 16.406703, 
55.29, 12.76, 16.427769, 
58.60, 11.50, 16.448088, 
56.11, 12.69, 16.469050, 
60.02, 12.20, 16.488973, 
55.68, 12.21, 16.510085, 
58.59, 12.57, 16.530642, 
57.87, 13.30, 16.551123, 
56.25, 12.58, 16.572166, 
59.93, 12.47, 16.592540, 
55.34, 12.44, 16.613356, 
58.93, 12.47, 16.633666, 
55.26, 12.68, 16.654599, 
59.00, 12.16, 16.675214, 
57.51, 12.28, 16.696151, 
57.71, 12.70, 16.716226, 
57.30, 12.50, 16.737192, 
