CPU Power (W), DRAM Power (W), Time (S)
55.04, 12.71, 376.481000, 
58.67, 11.65, 376.501272, 
56.42, 12.60, 376.522308, 
53.25, 13.42, 376.542061, 
65.28, 14.95, 376.561068, 
68.88, 14.94, 376.579974, 
68.95, 15.10, 376.598972, 
69.34, 14.66, 376.618009, 
69.58, 14.64, 376.637038, 
69.08, 15.60, 376.656011, 
68.67, 15.76, 376.675094, 
75.38, 17.92, 376.695442, 
57.47, 13.95, 376.715930, 
56.42, 14.51, 376.736918, 
56.74, 13.62, 376.758104, 
56.02, 14.06, 376.778323, 
56.66, 13.77, 376.799276, 
57.92, 12.48, 376.819947, 
57.53, 12.98, 376.841004, 
54.82, 12.99, 376.862102, 
54.13, 11.89, 376.883272, 
57.40, 12.82, 376.904100, 
58.14, 12.18, 376.924520, 
55.01, 12.51, 376.944778, 
56.06, 11.73, 376.966458, 
54.71, 12.51, 376.988364, 
50.76, 14.14, 377.009869, 
60.81, 15.21, 377.029060, 
68.70, 15.10, 377.048181, 
67.22, 14.87, 377.067304, 
66.69, 14.79, 377.086470, 
67.04, 14.74, 377.105632, 
67.19, 14.83, 377.124725, 
67.52, 15.90, 377.143629, 
67.51, 15.93, 377.162864, 
75.87, 16.91, 377.182179, 
56.89, 14.69, 377.202261, 
56.84, 13.95, 377.221934, 
58.30, 13.80, 377.241574, 
65.76, 14.15, 377.260564, 
62.87, 12.30, 377.279489, 
63.36, 12.57, 377.298467, 
61.24, 12.90, 377.317458, 
58.75, 12.39, 377.337488, 
55.23, 12.56, 377.358457, 
57.43, 12.20, 377.378383, 
58.36, 12.11, 377.398594, 
58.18, 11.70, 377.419193, 
56.39, 12.65, 377.439740, 
54.06, 13.20, 377.459819, 
53.18, 14.82, 377.480510, 
68.93, 15.04, 377.499505, 
67.78, 14.75, 377.518541, 
68.22, 14.72, 377.537597, 
67.61, 14.69, 377.556676, 
68.81, 15.50, 377.575632, 
68.65, 16.04, 377.594685, 
64.09, 14.89, 377.617354, 
70.56, 17.32, 377.637107, 
59.62, 13.93, 377.657350, 
58.54, 13.78, 377.677525, 
58.47, 14.17, 377.697705, 
58.77, 13.84, 377.717906, 
60.14, 12.96, 377.738615, 
55.82, 12.27, 377.759083, 
57.51, 12.80, 377.779856, 
54.12, 12.67, 377.800607, 
59.14, 12.36, 377.820617, 
57.43, 12.12, 377.841099, 
56.86, 12.41, 377.861890, 
58.70, 12.33, 377.882081, 
56.33, 12.80, 377.902686, 
55.14, 12.65, 377.924051, 
53.07, 14.80, 377.944824, 
68.95, 14.70, 377.963916, 
67.08, 14.66, 377.983044, 
66.95, 14.94, 378.002215, 
67.00, 14.84, 378.021401, 
67.26, 15.07, 378.040605, 
69.49, 15.75, 378.059531, 
65.30, 15.88, 378.078724, 
76.20, 18.59, 378.098082, 
59.16, 14.35, 378.118367, 
55.95, 13.33, 378.139493, 
55.52, 13.49, 378.160964, 
56.95, 14.00, 378.180918, 
55.30, 12.18, 378.202430, 
56.35, 12.83, 378.223861, 
49.70, 13.44, 378.245364, 
54.55, 11.95, 378.265603, 
55.84, 12.21, 378.287390, 
56.34, 12.66, 378.308599, 
56.43, 12.30, 378.330133, 
56.58, 12.59, 378.350078, 
54.37, 12.29, 378.372001, 
51.98, 13.39, 378.393582, 
58.32, 14.98, 378.412738, 
67.21, 14.77, 378.431838, 
65.72, 15.31, 378.451024, 
66.89, 14.93, 378.470176, 
68.92, 14.75, 378.489344, 
66.72, 14.45, 378.508517, 
67.37, 15.97, 378.527215, 
64.61, 15.88, 378.546338, 
64.87, 15.17, 378.568124, 
67.12, 16.56, 378.587903, 
54.92, 13.43, 378.609133, 
57.46, 13.66, 378.629262, 
56.08, 14.21, 378.649306, 
54.56, 11.53, 378.671096, 
57.18, 13.79, 378.692067, 
53.15, 12.07, 378.713001, 
57.10, 13.02, 378.733165, 
54.43, 12.03, 378.754715, 
58.45, 12.40, 378.774664, 
54.97, 12.16, 378.795586, 
55.03, 12.05, 378.816907, 
56.87, 12.38, 378.838616, 
49.59, 14.25, 378.859041, 
62.94, 14.27, 378.878048, 
67.89, 14.93, 378.897065, 
68.39, 14.54, 378.916001, 
65.57, 14.73, 378.934996, 
68.76, 14.68, 378.953862, 
66.77, 15.60, 378.972936, 
66.60, 15.42, 378.992907, 
75.63, 18.03, 379.011908, 
58.01, 14.36, 379.031843, 
55.30, 13.82, 379.052893, 
56.58, 13.58, 379.073119, 
58.67, 14.09, 379.093536, 
56.49, 13.70, 379.114233, 
59.58, 12.31, 379.134627, 
55.09, 13.05, 379.155951, 
54.19, 12.35, 379.177186, 
54.83, 12.22, 379.198638, 
55.76, 12.61, 379.218751, 
56.37, 12.09, 379.239613, 
55.25, 12.96, 379.260911, 
55.09, 12.35, 379.282142, 
55.31, 12.28, 379.303561, 
50.05, 14.30, 379.324640, 
63.20, 15.68, 379.343734, 
67.38, 14.82, 379.362387, 
66.62, 14.02, 379.381516, 
67.17, 14.78, 379.400632, 
67.37, 15.51, 379.419652, 
67.97, 14.97, 379.438564, 
67.78, 15.28, 379.457641, 
63.99, 15.72, 379.477111, 
75.50, 17.57, 379.496690, 
56.37, 14.05, 379.516819, 
55.87, 13.21, 379.537354, 
55.81, 13.81, 379.558601, 
59.43, 13.39, 379.578586, 
59.13, 12.26, 379.599029, 
57.48, 13.01, 379.619786, 
50.90, 12.55, 379.641186, 
57.89, 12.47, 379.662080, 
57.41, 12.37, 379.682243, 
55.62, 12.47, 379.703585, 
58.09, 11.99, 379.725022, 
57.65, 12.70, 379.746371, 
55.08, 12.59, 379.767107, 
50.01, 14.59, 379.787924, 
66.03, 15.24, 379.806999, 
67.31, 14.91, 379.826098, 
67.61, 14.95, 379.845230, 
67.52, 14.99, 379.864249, 
67.51, 14.91, 379.883320, 
67.36, 15.16, 379.902445, 
67.37, 15.85, 379.921616, 
65.85, 15.26, 379.941036, 
74.84, 18.22, 379.960486, 
57.64, 13.68, 379.980286, 
54.64, 13.64, 380.000108, 
57.00, 14.14, 380.020303, 
55.40, 13.92, 380.040714, 
56.81, 12.65, 380.060974, 
55.53, 13.05, 380.081679, 
58.11, 12.93, 380.101592, 
56.19, 12.57, 380.122247, 
57.05, 12.13, 380.143545, 
56.00, 12.40, 380.164900, 
58.48, 12.66, 380.184742, 
54.11, 11.91, 380.206247, 
55.94, 12.90, 380.227859, 
55.96, 14.66, 380.247183, 
68.90, 14.81, 380.266311, 
67.37, 14.55, 380.285481, 
68.60, 15.10, 380.304432, 
69.28, 15.09, 380.323339, 
69.37, 14.65, 380.342295, 
67.34, 16.12, 380.361330, 
66.65, 15.87, 380.381220, 
75.94, 17.26, 380.400251, 
54.60, 14.49, 380.420655, 
58.59, 13.94, 380.441358, 
55.77, 14.11, 380.461457, 
55.96, 13.38, 380.482132, 
58.90, 13.35, 380.502160, 
58.85, 12.78, 380.522192, 
57.07, 13.48, 380.543508, 
53.62, 12.16, 380.565128, 
55.19, 12.37, 380.586801, 
57.01, 12.68, 380.606785, 
55.34, 12.37, 380.627878, 
55.58, 12.13, 380.649485, 
55.34, 12.68, 380.671173, 
56.02, 12.53, 380.692706, 
51.38, 14.27, 380.712773, 
65.56, 15.45, 380.731574, 
67.26, 14.94, 380.750696, 
67.16, 14.95, 380.769830, 
67.14, 14.83, 380.788942, 
67.41, 14.63, 380.807973, 
66.85, 15.05, 380.827069, 
66.57, 15.47, 380.845975, 
67.40, 15.68, 380.864928, 
66.02, 15.82, 380.886411, 
65.02, 15.68, 380.906385, 
60.64, 13.81, 380.926443, 
57.25, 14.07, 380.947208, 
58.74, 13.30, 380.967532, 
58.11, 12.63, 380.987832, 
56.07, 13.15, 381.008178, 
56.30, 11.79, 381.028473, 
58.49, 12.64, 381.048768, 
57.42, 12.19, 381.068829, 
58.48, 12.38, 381.089109, 
56.74, 12.61, 381.109388, 
56.94, 12.42, 381.129741, 
56.98, 11.84, 381.151474, 
54.52, 14.73, 381.170848, 
68.81, 14.63, 381.189927, 
67.96, 14.60, 381.209032, 
68.55, 15.00, 381.228037, 
68.23, 14.99, 381.246985, 
69.31, 15.04, 381.265985, 
68.99, 15.89, 381.285092, 
67.55, 15.36, 381.304867, 
75.13, 17.80, 381.323852, 
59.80, 14.41, 381.343883, 
59.41, 14.19, 381.363837, 
58.70, 13.79, 381.383826, 
59.07, 13.73, 381.403807, 
58.86, 13.56, 381.423806, 
58.61, 12.56, 381.443837, 
58.29, 13.10, 381.464380, 
54.19, 12.85, 381.484557, 
57.97, 12.27, 381.504974, 
57.35, 12.25, 381.525519, 
56.30, 12.10, 381.545761, 
58.47, 11.74, 381.566132, 
57.03, 11.87, 381.586859, 
57.09, 12.41, 381.607839, 
52.24, 13.70, 381.627456, 
66.02, 14.99, 381.646392, 
69.10, 15.00, 381.665369, 
68.98, 15.17, 381.684330, 
68.99, 15.10, 381.703242, 
69.94, 14.66, 381.722216, 
69.57, 15.44, 381.741242, 
67.23, 16.16, 381.760292, 
75.57, 17.60, 381.780121, 
61.49, 14.50, 381.800088, 
61.03, 14.14, 381.819868, 
59.04, 13.38, 381.839715, 
59.68, 13.98, 381.859611, 
57.76, 14.26, 381.879489, 
59.27, 12.56, 381.899402, 
59.33, 12.86, 381.919297, 
59.73, 13.01, 381.939215, 
54.70, 11.94, 381.959906, 
55.65, 12.40, 381.981120, 
57.64, 12.22, 382.000977, 
57.66, 12.60, 382.020853, 
54.64, 12.31, 382.041657, 
58.52, 12.60, 382.061772, 
57.25, 12.73, 382.081439, 
62.80, 15.07, 382.100512, 
68.39, 14.97, 382.119453, 
68.49, 14.98, 382.138469, 
68.16, 14.36, 382.157600, 
67.96, 14.77, 382.176709, 
68.00, 15.20, 382.195702, 
68.12, 15.91, 382.214835, 
68.48, 15.07, 382.234776, 
74.59, 17.46, 382.254833, 
58.89, 14.63, 382.274780, 
58.07, 14.19, 382.294680, 
60.11, 13.94, 382.314597, 
59.83, 14.15, 382.334798, 
57.66, 13.18, 382.354952, 
57.80, 12.40, 382.375166, 
59.15, 13.64, 382.395141, 
58.82, 12.57, 382.415122, 
56.75, 12.18, 382.435281, 
59.25, 12.43, 382.455476, 
58.93, 12.82, 382.475609, 
57.78, 12.42, 382.495788, 
57.58, 12.45, 382.515975, 
56.92, 12.30, 382.537552, 
56.60, 14.40, 382.557656, 
67.08, 15.11, 382.576953, 
69.10, 14.74, 382.596217, 
67.39, 14.52, 382.615455, 
67.80, 14.92, 382.634693, 
66.87, 15.42, 382.653922, 
68.75, 14.51, 382.673228, 
68.64, 15.04, 382.692570, 
66.77, 15.62, 382.711833, 
77.48, 18.09, 382.731598, 
60.97, 14.07, 382.751497, 
59.97, 13.92, 382.771405, 
60.10, 13.84, 382.791365, 
58.85, 13.57, 382.811251, 
56.93, 12.46, 382.831555, 
60.21, 13.63, 382.851788, 
56.38, 12.55, 382.871465, 
60.30, 12.20, 382.891101, 
57.20, 12.10, 382.910735, 
60.69, 12.78, 382.930368, 
56.86, 12.10, 382.950137, 
59.26, 12.35, 382.970011, 
58.89, 11.98, 382.990501, 
55.11, 13.56, 383.010288, 
68.57, 14.80, 383.029554, 
68.62, 15.16, 383.048827, 
68.94, 15.40, 383.067996, 
70.56, 14.34, 383.087211, 
68.77, 14.89, 383.106344, 
68.92, 15.00, 383.125652, 
70.60, 15.62, 383.144996, 
78.31, 18.45, 383.164269, 
61.04, 13.74, 383.184220, 
58.19, 14.78, 383.204178, 
59.87, 13.90, 383.224110, 
60.34, 13.71, 383.244026, 
59.89, 13.83, 383.264018, 
59.53, 13.00, 383.283899, 
59.68, 13.22, 383.303823, 
58.20, 12.75, 383.323746, 
59.53, 12.63, 383.343622, 
57.81, 12.62, 383.363505, 
59.57, 12.62, 383.383383, 
59.62, 11.72, 383.403267, 
59.73, 12.02, 383.423153, 
58.40, 12.32, 383.443035, 
55.35, 12.56, 383.464667, 
58.39, 14.49, 383.483982, 
68.91, 15.04, 383.503179, 
67.12, 14.88, 383.522417, 
67.30, 14.51, 383.541706, 
68.86, 14.72, 383.561006, 
68.85, 14.94, 383.580264, 
66.79, 15.88, 383.599568, 
67.33, 15.29, 383.618829, 
69.39, 15.62, 383.638060, 
80.37, 17.19, 383.657373, 
63.58, 13.84, 383.676691, 
63.19, 14.37, 383.695995, 
65.10, 13.61, 383.715311, 
64.68, 13.69, 383.735226, 
58.41, 12.37, 383.755084, 
60.70, 13.65, 383.774801, 
55.31, 12.35, 383.794842, 
59.30, 12.89, 383.814738, 
59.92, 12.33, 383.834571, 
59.89, 12.62, 383.854453, 
58.47, 12.29, 383.874343, 
59.62, 12.35, 383.894231, 
58.05, 12.91, 383.914100, 
53.24, 12.89, 383.935736, 
60.71, 15.37, 383.955007, 
68.61, 14.82, 383.974311, 
72.01, 16.18, 383.993612, 
64.52, 14.46, 384.012889, 
63.05, 14.03, 384.032779, 
60.12, 14.59, 384.052755, 
58.19, 14.09, 384.072731, 
59.84, 14.66, 384.092735, 
59.96, 14.24, 384.112721, 
60.49, 14.58, 384.132950, 
57.34, 13.63, 384.153118, 
59.02, 14.01, 384.173653, 
57.36, 13.85, 384.194131, 
56.82, 12.60, 384.214036, 
60.06, 13.32, 384.233924, 
58.99, 12.57, 384.253672, 
59.16, 12.49, 384.273934, 
56.81, 12.35, 384.294215, 
56.81, 12.71, 384.314511, 
58.87, 12.06, 384.334839, 
57.88, 12.61, 384.355159, 
56.82, 12.33, 384.375487, 
53.74, 13.18, 384.395729, 
60.50, 14.46, 384.414971, 
66.58, 14.12, 384.434225, 
66.04, 14.43, 384.453474, 
64.54, 14.10, 384.472696, 
64.68, 14.76, 384.491937, 
64.44, 14.42, 384.511212, 
67.05, 14.32, 384.530465, 
64.52, 14.40, 384.549727, 
66.17, 14.36, 384.569003, 
64.65, 14.87, 384.588266, 
64.24, 13.85, 384.607507, 
66.33, 13.71, 384.626744, 
64.60, 14.03, 384.646005, 
65.87, 12.85, 384.665243, 
63.88, 12.39, 384.684484, 
63.58, 13.48, 384.703769, 
69.56, 12.83, 384.723009, 
64.28, 12.40, 384.742247, 
65.81, 12.37, 384.761490, 
63.88, 12.73, 384.780726, 
63.83, 12.71, 384.799964, 
64.03, 11.80, 384.819195, 
66.02, 11.75, 384.838436, 
56.13, 13.09, 384.859411, 
59.01, 14.02, 384.879352, 
58.75, 14.60, 384.899329, 
60.24, 14.79, 384.919190, 
59.08, 14.59, 384.939142, 
60.05, 14.29, 384.959073, 
59.82, 14.05, 384.979434, 
58.91, 14.68, 384.999814, 
58.73, 14.66, 385.020175, 
57.42, 14.68, 385.040430, 
58.56, 14.25, 385.060762, 
58.62, 13.95, 385.081146, 
58.46, 13.94, 385.101340, 
57.75, 14.11, 385.121558, 
57.09, 12.34, 385.141831, 
58.19, 13.23, 385.161873, 
54.50, 12.43, 385.182206, 
58.45, 12.30, 385.202515, 
58.50, 12.68, 385.222762, 
56.72, 12.68, 385.243114, 
57.15, 12.05, 385.263446, 
59.17, 12.53, 385.283957, 
55.88, 12.57, 385.304410, 
57.64, 13.45, 385.324216, 
62.37, 14.86, 385.343481, 
64.36, 13.78, 385.362745, 
66.44, 14.58, 385.381906, 
61.28, 14.12, 385.401824, 
59.96, 14.23, 385.421917, 
59.31, 14.47, 385.442001, 
59.21, 14.56, 385.462127, 
60.52, 14.89, 385.482234, 
58.90, 14.41, 385.502283, 
59.36, 14.33, 385.522750, 
55.98, 13.82, 385.543260, 
59.45, 13.98, 385.563893, 
55.74, 13.77, 385.584425, 
58.75, 12.56, 385.604649, 
56.60, 13.10, 385.625671, 
56.22, 12.55, 385.646104, 
57.11, 12.93, 385.666419, 
57.78, 12.50, 385.686951, 
57.17, 12.26, 385.707497, 
56.12, 12.93, 385.728105, 
58.48, 12.27, 385.748323, 
56.72, 12.41, 385.770086, 
55.21, 13.96, 385.789982, 
63.32, 14.49, 385.809245, 
66.62, 14.38, 385.828494, 
64.35, 14.43, 385.847757, 
62.62, 14.88, 385.867552, 
60.31, 13.59, 385.887631, 
58.99, 14.89, 385.907706, 
59.54, 14.31, 385.927787, 
59.42, 14.31, 385.947841, 
59.25, 14.52, 385.967832, 
59.39, 13.94, 385.987983, 
58.54, 13.71, 386.008060, 
59.06, 14.12, 386.028103, 
58.72, 12.88, 386.048111, 
58.60, 12.47, 386.068156, 
57.93, 13.40, 386.088180, 
58.76, 12.51, 386.108202, 
59.13, 11.87, 386.128246, 
58.53, 12.47, 386.148275, 
58.54, 12.52, 386.168309, 
58.61, 11.93, 386.188332, 
58.49, 12.47, 386.208377, 
57.93, 12.12, 386.229353, 
55.26, 13.81, 386.249251, 
62.86, 14.57, 386.269052, 
57.37, 14.51, 386.289084, 
58.11, 14.69, 386.309711, 
59.30, 14.47, 386.330286, 
58.50, 13.54, 386.350747, 
57.45, 14.43, 386.371323, 
56.18, 14.75, 386.392123, 
58.08, 14.05, 386.412897, 
58.96, 14.37, 386.432884, 
57.67, 13.82, 386.453481, 
55.75, 13.77, 386.474179, 
58.36, 14.03, 386.494466, 
55.82, 12.79, 386.515186, 
57.61, 12.79, 386.535815, 
55.90, 13.11, 386.556507, 
56.02, 12.68, 386.576563, 
56.12, 11.98, 386.597312, 
57.47, 12.42, 386.617982, 
57.45, 12.67, 386.638131, 
57.24, 12.10, 386.658430, 
57.40, 12.18, 386.679147, 
54.37, 12.26, 386.700396, 
54.58, 14.60, 386.720269, 
57.18, 14.41, 386.740801, 
59.33, 14.48, 386.761452, 
56.64, 14.38, 386.781669, 
58.29, 14.38, 386.802527, 
56.25, 14.62, 386.823305, 
58.23, 14.41, 386.844135, 
58.53, 14.63, 386.864201, 
57.30, 13.89, 386.884807, 
59.32, 14.66, 386.905178, 
58.40, 13.56, 386.925329, 
56.74, 13.72, 386.945933, 
55.56, 13.94, 386.966586, 
58.46, 12.45, 386.986780, 
57.26, 13.10, 387.007511, 
55.46, 12.60, 387.028145, 
54.80, 12.71, 387.048813, 
58.45, 12.32, 387.068866, 
56.65, 12.57, 387.089682, 
57.21, 12.66, 387.110348, 
55.93, 12.62, 387.130542, 
59.26, 12.46, 387.151298, 
51.59, 12.94, 387.172458, 
54.90, 14.61, 387.193011, 
59.97, 14.74, 387.213116, 
64.65, 14.34, 387.232387, 
64.32, 14.41, 387.251632, 
63.17, 14.57, 387.271437, 
60.69, 14.37, 387.291350, 
60.21, 14.35, 387.311409, 
59.52, 14.60, 387.331470, 
59.05, 14.38, 387.351659, 
58.92, 14.76, 387.371743, 
57.96, 13.10, 387.391918, 
58.03, 14.05, 387.412132, 
57.35, 13.66, 387.432665, 
59.35, 12.09, 387.452746, 
58.17, 12.91, 387.472973, 
53.11, 11.99, 387.493466, 
56.40, 12.67, 387.513674, 
58.37, 12.58, 387.534199, 
56.76, 12.56, 387.554622, 
56.24, 12.29, 387.575066, 
58.86, 12.46, 387.595557, 
55.88, 12.71, 387.616467, 
51.40, 13.15, 387.638107, 
62.16, 15.11, 387.657381, 
64.61, 14.36, 387.676636, 
63.55, 14.95, 387.696569, 
60.00, 13.88, 387.716655, 
59.59, 14.10, 387.736737, 
59.19, 14.61, 387.756843, 
59.07, 14.60, 387.776960, 
59.02, 14.90, 387.797110, 
58.26, 14.46, 387.817158, 
59.16, 13.83, 387.837496, 
58.04, 13.91, 387.858040, 
57.24, 14.12, 387.878535, 
56.42, 13.62, 387.898949, 
58.78, 12.18, 387.919467, 
55.40, 13.60, 387.939604, 
58.88, 12.25, 387.959499, 
57.81, 12.59, 387.979433, 
58.89, 12.28, 387.999321, 
58.84, 12.59, 388.019244, 
58.83, 12.61, 388.039125, 
58.56, 12.51, 388.059301, 
57.74, 11.83, 388.079674, 
59.56, 13.39, 388.098941, 
64.51, 14.85, 388.118199, 
64.85, 14.47, 388.137461, 
66.48, 14.22, 388.156711, 
64.31, 14.11, 388.175968, 
65.89, 14.36, 388.195225, 
64.39, 14.06, 388.214480, 
64.80, 15.20, 388.233722, 
66.41, 14.46, 388.252983, 
63.51, 14.02, 388.272897, 
59.18, 14.69, 388.292821, 
59.64, 13.57, 388.312774, 
58.59, 13.75, 388.332636, 
58.72, 14.13, 388.352833, 
57.47, 12.47, 388.373060, 
59.93, 13.18, 388.392967, 
53.80, 12.84, 388.412739, 
55.80, 12.32, 388.432701, 
58.74, 12.42, 388.452561, 
59.51, 12.71, 388.472212, 
57.66, 12.66, 388.492090, 
56.26, 12.54, 388.512571, 
58.32, 12.05, 388.532748, 
53.84, 13.06, 388.553303, 
59.04, 14.68, 388.572578, 
64.23, 14.47, 388.591832, 
66.08, 14.38, 388.611123, 
66.14, 14.06, 388.630400, 
62.08, 14.79, 388.650223, 
60.42, 13.64, 388.670188, 
59.95, 14.36, 388.690126, 
58.78, 13.95, 388.710109, 
59.92, 14.43, 388.730229, 
59.68, 14.64, 388.750225, 
58.98, 14.07, 388.770286, 
58.74, 13.59, 388.790353, 
58.88, 14.07, 388.810806, 
57.30, 12.20, 388.831332, 
59.43, 13.29, 388.851478, 
56.65, 12.59, 388.872120, 
55.41, 12.65, 388.892331, 
56.45, 12.28, 388.912888, 
58.60, 12.56, 388.933254, 
57.12, 12.12, 388.953471, 
56.29, 12.65, 388.973990, 
58.35, 11.97, 388.994271, 
55.02, 12.75, 389.014437, 
60.86, 14.05, 389.033683, 
64.71, 15.15, 389.052972, 
66.33, 14.42, 389.072245, 
64.34, 14.05, 389.091498, 
63.92, 14.43, 389.111444, 
60.30, 14.24, 389.131479, 
58.68, 14.86, 389.151738, 
58.42, 14.55, 389.171694, 
58.85, 14.41, 389.191885, 
59.29, 14.57, 389.212029, 
57.23, 13.89, 389.232679, 
59.04, 13.64, 389.252861, 
56.83, 13.96, 389.273443, 
55.77, 12.81, 389.293612, 
59.73, 12.99, 389.313944, 
54.48, 12.56, 389.334720, 
55.74, 12.28, 389.354939, 
56.79, 12.59, 389.375419, 
56.25, 12.43, 389.396160, 
57.28, 12.35, 389.416954, 
56.58, 12.25, 389.437344, 
56.82, 12.67, 389.457578, 
52.87, 13.19, 389.477602, 
61.35, 14.35, 389.496867, 
65.88, 14.78, 389.516102, 
61.53, 14.47, 389.536101, 
60.09, 14.67, 389.555981, 
59.89, 14.54, 389.575945, 
60.25, 13.79, 389.596111, 
58.85, 14.17, 389.616461, 
58.53, 14.53, 389.636718, 
59.54, 14.57, 389.656955, 
59.61, 14.70, 389.677238, 
57.21, 13.56, 389.697500, 
56.24, 13.75, 389.718089, 
59.31, 13.81, 389.738164, 
57.05, 12.68, 389.758711, 
55.79, 12.85, 389.779400, 
54.35, 12.85, 389.799645, 
56.41, 12.34, 389.820276, 
57.28, 12.57, 389.840511, 
56.89, 12.52, 389.861229, 
56.61, 12.25, 389.881523, 
57.01, 12.35, 389.901818, 
56.45, 12.99, 389.922829, 
52.92, 13.39, 389.943388, 
54.84, 14.32, 389.964020, 
59.24, 14.75, 389.984134, 
57.86, 14.01, 390.004780, 
57.53, 14.52, 390.025245, 
58.55, 14.75, 390.045529, 
55.96, 13.64, 390.066403, 
58.21, 15.02, 390.086596, 
57.74, 14.39, 390.107146, 
57.85, 14.39, 390.127973, 
59.90, 13.94, 390.148350, 
55.66, 13.66, 390.168938, 
56.51, 14.36, 390.189189, 
57.54, 13.49, 390.209894, 
55.78, 12.68, 390.230141, 
55.44, 12.51, 390.250896, 
56.65, 12.70, 390.271688, 
56.72, 12.01, 390.292573, 
56.58, 12.71, 390.313076, 
56.71, 12.73, 390.333294, 
55.87, 11.98, 390.353988, 
57.66, 12.27, 390.374133, 
55.48, 12.42, 390.395668, 
58.07, 14.90, 390.414889, 
66.66, 14.45, 390.434083, 
59.12, 14.00, 390.454333, 
58.22, 14.55, 390.474912, 
58.68, 14.61, 390.494992, 
58.19, 14.08, 390.515496, 
57.23, 14.10, 390.536288, 
57.99, 14.76, 390.556169, 
57.82, 13.95, 390.576953, 
58.99, 14.82, 390.596988, 
57.30, 13.60, 390.617222, 
56.15, 13.79, 390.638290, 
58.01, 14.09, 390.658481, 
57.34, 12.31, 390.679198, 
56.96, 13.59, 390.699203, 
54.13, 12.13, 390.720022, 
58.54, 12.54, 390.739730, 
56.18, 12.43, 390.759780, 
56.98, 12.44, 390.780849, 
55.99, 12.26, 390.800946, 
55.81, 12.32, 390.821645, 
56.19, 12.32, 390.841853, 
54.41, 12.89, 390.861954, 
61.24, 15.12, 390.881254, 
62.59, 13.82, 390.901112, 
58.08, 14.59, 390.921303, 
60.90, 14.48, 390.941373, 
58.83, 14.46, 390.961437, 
58.79, 14.43, 390.981603, 
58.18, 14.42, 391.001882, 
59.47, 14.79, 391.022157, 
58.12, 14.42, 391.042187, 
59.09, 14.41, 391.062407, 
57.99, 13.34, 391.082652, 
57.81, 13.89, 391.102766, 
60.16, 13.97, 391.122898, 
57.11, 12.54, 391.143078, 
58.39, 13.42, 391.163776, 
49.81, 12.32, 391.184544, 
58.61, 12.24, 391.204365, 
57.35, 12.08, 391.225333, 
57.89, 12.70, 391.245351, 
56.86, 12.39, 391.265641, 
56.74, 12.42, 391.286482, 
57.20, 12.87, 391.306763, 
54.22, 13.51, 391.326360, 
61.14, 14.54, 391.345426, 
66.58, 14.56, 391.364473, 
65.01, 14.64, 391.383480, 
60.17, 14.59, 391.403302, 
60.14, 14.57, 391.423163, 
60.18, 13.87, 391.443037, 
58.54, 14.70, 391.462965, 
59.86, 14.44, 391.482892, 
59.17, 14.48, 391.503029, 
58.92, 14.51, 391.523279, 
57.35, 13.88, 391.543592, 
58.78, 14.17, 391.563846, 
57.41, 13.88, 391.584126, 
58.80, 12.51, 391.604330, 
56.95, 12.87, 391.624758, 
53.36, 12.88, 391.646141, 
59.55, 12.64, 391.665565, 
60.23, 12.64, 391.685559, 
58.52, 12.16, 391.705720, 
59.58, 12.62, 391.725421, 
59.15, 11.99, 391.745553, 
56.09, 12.36, 391.766385, 
53.77, 12.97, 391.786225, 
62.14, 14.53, 391.805228, 
65.08, 14.61, 391.824248, 
65.33, 14.32, 391.843227, 
65.06, 14.32, 391.862218, 
65.08, 14.51, 391.881221, 
65.17, 14.18, 391.900176, 
61.28, 14.24, 391.920001, 
58.27, 14.56, 391.940110, 
60.45, 14.58, 391.960125, 
59.28, 14.63, 391.980111, 
57.09, 13.91, 392.000118, 
57.43, 13.95, 392.020497, 
59.00, 13.99, 392.041306, 
56.45, 13.09, 392.061550, 
58.35, 12.80, 392.081791, 
56.21, 12.74, 392.102498, 
57.83, 12.37, 392.122809, 
56.74, 12.30, 392.143748, 
57.03, 12.67, 392.163828, 
56.89, 12.38, 392.184837, 
57.00, 12.65, 392.204944, 
56.37, 11.95, 392.225500, 
52.90, 12.60, 392.246119, 
61.52, 14.90, 392.265096, 
59.23, 14.51, 392.285042, 
59.60, 14.57, 392.305114, 
59.08, 14.49, 392.325301, 
59.24, 14.42, 392.345423, 
59.30, 14.47, 392.365555, 
59.12, 14.25, 392.385655, 
59.07, 14.52, 392.405781, 
58.04, 13.68, 392.427029, 
59.12, 15.14, 392.447143, 
57.04, 13.57, 392.468201, 
58.61, 14.06, 392.488544, 
56.20, 13.50, 392.509609, 
58.22, 12.10, 392.529779, 
58.51, 12.98, 392.550230, 
52.18, 12.69, 392.571836, 
56.97, 12.26, 392.593247, 
57.11, 12.25, 392.613334, 
57.56, 12.49, 392.633998, 
53.52, 12.38, 392.655450, 
58.21, 12.33, 392.676915, 
57.01, 12.50, 392.697840, 
56.15, 13.70, 392.717399, 
57.93, 14.63, 392.737593, 
58.17, 14.52, 392.757436, 
61.88, 14.63, 392.777708, 
57.66, 14.56, 392.798190, 
58.03, 14.50, 392.818694, 
59.30, 13.68, 392.839264, 
56.89, 14.67, 392.860174, 
58.23, 14.61, 392.880370, 
59.50, 14.52, 392.900397, 
58.07, 13.65, 392.920817, 
58.99, 13.42, 392.941155, 
56.02, 13.57, 392.962893, 
