GPU_Power(W),Time(S), 
72,19.731829, 
72,19.749385, 
72,19.765079, 
72,19.780796, 
72,19.79655, 
72,19.812332, 
72,19.828106, 
72,19.845615, 
72,19.861422, 
72,19.877191, 
72,19.892963, 
72,19.908722, 
72,19.924533, 
72,19.942083, 
72,19.957863, 
72,19.973703, 
72,19.989467, 
72,20.005211, 
72,20.021018, 
72,20.038429, 
72,20.054206, 
72,20.070041, 
72,20.085989, 
72,20.101725, 
72,20.117487, 
72,20.137266, 
72,20.15305, 
72,20.168884, 
72,20.184585, 
72,20.200299, 
72,20.216084, 
72,20.231916, 
72,20.249322, 
72,20.265101, 
72,20.280878, 
72,20.296637, 
72,20.312391, 
72,20.328191, 
72,20.345636, 
72,20.361438, 
72,20.377281, 
72,20.393064, 
72,20.408903, 
72,20.42469, 
72,20.44209, 
72,20.457844, 
72,20.473655, 
72,20.489421, 
72,20.505164, 
72,20.520896, 
72,20.53831, 
72,20.554069, 
72,20.569772, 
72,20.58563, 
72,20.601408, 
72,20.617151, 
72,20.636657, 
72,20.652418, 
72,20.668174, 
72,20.683888, 
72,20.699638, 
72,20.715393, 
72,20.731152, 
72,20.746859, 
72,20.762589, 
72,20.77834, 
72,20.794121, 
72,20.809878, 
72,20.825674, 
72,20.841485, 
72,20.857308, 
72,20.873081, 
72,20.888837, 
72,20.904585, 
72,20.920336, 
72,20.937141, 
72,20.952902, 
72,20.968671, 
72,20.984491, 
72,21.000162, 
72,21.015874, 
72,21.031673, 
72,21.049067, 
72,21.064816, 
72,21.080575, 
72,21.096341, 
72,21.112127, 
72,21.127883, 
72,21.145246, 
72,21.16098, 
72,21.176764, 
72,21.192523, 
72,21.208245, 
72,21.224026, 
72,21.241528, 
72,21.257301, 
72,21.273049, 
72,21.288772, 
72,21.304506, 
72,21.320266, 
72,21.337642, 
72,21.353437, 
72,21.369195, 
72,21.384984, 
72,21.400737, 
72,21.416468, 
72,21.432178, 
72,21.449482, 
72,21.46529, 
72,21.481044, 
72,21.496804, 
72,21.512586, 
72,21.52839, 
72,21.545845, 
72,21.561549, 
72,21.57733, 
72,21.593079, 
72,21.608858, 
72,21.624633, 
72,21.642, 
72,21.65777, 
72,21.673632, 
72,21.689437, 
72,21.705187, 
72,21.720961, 
72,21.738469, 
72,21.75426, 
72,21.770026, 
72,21.785785, 
72,21.801602, 
72,21.817441, 
72,21.836627, 
72,21.852493, 
72,21.868163, 
72,21.883753, 
72,21.899381, 
72,21.914977, 
72,21.930589, 
77,21.947558, 
77,21.96318, 
77,21.978786, 
77,21.994408, 
77,22.010001, 
77,22.025866, 
86,22.042891, 
86,22.058542, 
86,22.074177, 
86,22.089812, 
86,22.105466, 
86,22.121139, 
88,22.14019, 
88,22.155838, 
88,22.171526, 
88,22.187171, 
88,22.202815, 
88,22.21847, 
100,22.236362, 
100,22.252016, 
100,22.267662, 
100,22.283311, 
100,22.29897, 
100,22.314657, 
100,22.330367, 
105,22.3478, 
105,22.363487, 
105,22.379175, 
105,22.394866, 
105,22.410555, 
105,22.426254, 
107,22.443598, 
107,22.459315, 
107,22.475041, 
107,22.490762, 
107,22.506483, 
107,22.522209, 
108,22.539629, 
108,22.555348, 
108,22.571098, 
108,22.586852, 
108,22.60257, 
108,22.618292, 
108,22.636617, 
108,22.652335, 
108,22.668078, 
108,22.683883, 
108,22.699617, 
108,22.715355, 
108,22.731092, 
107,22.74845, 
107,22.764139, 
107,22.779872, 
107,22.795588, 
107,22.811305, 
107,22.827016, 
104,22.844258, 
104,22.859976, 
104,22.875724, 
104,22.891477, 
104,22.907182, 
104,22.922953, 
103,22.940281, 
103,22.95603, 
103,22.971754, 
103,22.987429, 
103,23.003146, 
103,23.01898, 
128,23.036538, 
128,23.052178, 
128,23.067887, 
128,23.083629, 
128,23.099438, 
128,23.115143, 
128,23.130876, 
114,23.148339, 
114,23.164094, 
114,23.179819, 
114,23.195593, 
114,23.211341, 
114,23.227115, 
110,23.244561, 
110,23.260339, 
110,23.276112, 
110,23.291885, 
110,23.307611, 
110,23.323312, 
101,23.340816, 
101,23.3566, 
101,23.372407, 
101,23.388191, 
101,23.403958, 
101,23.419782, 
97,23.437192, 
97,23.452987, 
97,23.468776, 
97,23.484548, 
97,23.500333, 
97,23.516084, 
97,23.531861, 
96,23.549327, 
96,23.565067, 
96,23.580833, 
96,23.596619, 
96,23.612394, 
96,23.62823, 
95,23.645645, 
95,23.661424, 
95,23.677208, 
95,23.693065, 
95,23.708869, 
95,23.724544, 
95,23.741698, 
95,23.7575, 
95,23.773337, 
95,23.789057, 
95,23.804862, 
95,23.820609, 
95,23.838059, 
95,23.853756, 
95,23.869569, 
95,23.885381, 
95,23.901026, 
95,23.916744, 
95,23.932526, 
95,23.94991, 
95,23.965548, 
95,23.981155, 
95,23.996862, 
95,24.012522, 
95,24.028191, 
95,24.045428, 
95,24.061076, 
95,24.076755, 
95,24.092456, 
95,24.108072, 
95,24.123696, 
95,24.140929, 
95,24.156568, 
95,24.172232, 
95,24.187977, 
95,24.203656, 
95,24.219283, 
95,24.236635, 
95,24.252329, 
95,24.26808, 
95,24.283764, 
95,24.299497, 
95,24.315218, 
95,24.330886, 
95,24.348268, 
95,24.363978, 
95,24.379603, 
95,24.395223, 
95,24.410927, 
95,24.426683, 
95,24.444146, 
95,24.459875, 
95,24.475606, 
95,24.491293, 
95,24.507039, 
95,24.522754, 
95,24.540154, 
95,24.555878, 
95,24.571582, 
95,24.587227, 
95,24.602902, 
95,24.618601, 
95,24.63659, 
95,24.652302, 
95,24.66802, 
95,24.683694, 
95,24.699406, 
95,24.715131, 
95,24.730843, 
95,24.748166, 
95,24.763838, 
95,24.779498, 
95,24.795299, 
95,24.811099, 
95,24.826816, 
95,24.844291, 
95,24.860068, 
95,24.875815, 
95,24.891521, 
95,24.907148, 
95,24.922819, 
95,24.939986, 
95,24.955661, 
95,24.971379, 
95,24.987058, 
95,25.002731, 
95,25.018437, 
95,25.036707, 
95,25.05239, 
95,25.068034, 
95,25.08375, 
95,25.099487, 
95,25.115248, 
95,25.130893, 
95,25.148247, 
95,25.16389, 
95,25.179577, 
95,25.195336, 
95,25.210962, 
95,25.226668, 
95,25.243989, 
95,25.259606, 
95,25.27529, 
95,25.290966, 
95,25.306635, 
95,25.322353, 
95,25.339511, 
95,25.355125, 
95,25.370841, 
95,25.386621, 
95,25.402291, 
95,25.417993, 
