CPU_Power(W),DRAM_Power(W),Time(S),
56.01,12.02,6.056008, 
57.52,12.97,6.076133, 
57.35,12.76,6.09685, 
57.56,12.85,6.117496, 
59.17,12.89,6.137651, 
56.04,12.46,6.158266, 
55.94,12.94,6.179195, 
57.33,12.58,6.200065, 
56.66,12.14,6.220342, 
61.08,12.77,6.240092, 
59.63,12.61,6.259711, 
62.24,12.78,6.280674, 
57.21,12.6,6.302167, 
57.31,12.48,6.323535, 
59.71,12.78,6.344089, 
57.64,12.46,6.364614, 
59.18,12.66,6.384943, 
56.95,12.82,6.405468, 
59.86,12.48,6.426066, 
57.82,13.17,6.446296, 
56.12,12.45,6.467198, 
60.07,12.94,6.487713, 
59.29,12.11,6.508188, 
57.34,12.77,6.52861, 
57.44,12.56,6.549636, 
59.96,12.67,6.570094, 
57.18,12.6,6.59027, 
56.71,12.46,6.611136, 
59.69,12.89,6.631869, 
59.67,12.68,6.652397, 
56.39,12.14,6.672704, 
57.27,12.98,6.693724, 
60.03,12.96,6.714151, 
58.02,12.48,6.734639, 
55.7,12.63,6.755397, 
58.18,12.32,6.776062, 
59.92,12.98,6.796586, 
57.79,12.09,6.816901, 
57.03,13.05,6.837419, 
58.91,12.53,6.858072, 
59.39,12.9,6.878293, 
55.94,12.74,6.899219, 
58.72,12.98,6.919858, 
60.06,12.45,6.940353, 
57.3,12.82,6.960665, 
56.28,12.08,6.981687, 
60.04,12.91,7.00214, 
58.6,12.35,7.022748, 
56.28,12.71,7.043353, 
59.03,12.14,7.063987, 
58.38,13,7.08449, 
55.21,12.65,7.105324, 
48.95,12.78,7.126659, 
48.7,12.6,7.147926, 
48.18,12.6,7.168699, 
48.99,12.45,7.189191, 
46.54,12.59,7.210396, 
48.18,12.66,7.232348, 
48.06,12.38,7.253054, 
48.66,12.65,7.2738, 
49.16,12.76,7.295313, 
46.72,12.47,7.316861, 
48.66,12.99,7.337286, 
49.71,12.89,7.357719, 
46.83,12.52,7.37897, 
48.72,13.2,7.400419, 
49.54,13.1,7.421297, 
48.52,12.07,7.441635, 
47.36,13.22,7.462852, 
47.44,12.59,7.484334, 
49.49,13.06,7.505241, 
47.53,12.76,7.525643, 
50.14,12.39,7.546789, 
47.33,12.96,7.568221, 
48.27,12.22,7.589125, 
48.48,13.03,7.609566, 
49.21,12.41,7.630746, 
48.22,12.58,7.652415, 
48.02,12.83,7.673141, 
47.93,12.51,7.693933, 
48.66,12.75,7.715461, 
47.29,12.84,7.736898, 
48.82,13.07,7.757301, 
49.37,12.47,7.777853, 
46.86,12.78,7.7994, 
49.2,12.52,7.82096, 
48.88,13.03,7.841435, 
48.45,12.83,7.862163, 
45.43,12.16,7.883548, 
48.62,12.67,7.904946, 
47.19,12.64,7.926032, 
47.11,12.96,7.94663, 
48.16,13.05,7.968079, 
49.29,12.46,7.989429, 
46.46,12.97,8.010526, 
49.27,13.27,8.030612, 
46.12,11.87,8.05198, 
48.27,12.66,8.073365, 
46.64,12.33,8.094419, 
47.66,13.4,8.114736, 
46.91,11.84,8.13637, 
47.56,13.02,8.157442, 
47.96,12.9,8.17832, 
47.66,12.43,8.198765, 
45.37,12.82,8.220613, 
48.71,13.1,8.241576, 
48.01,12.53,8.262572, 
45.56,12.57,8.283338, 
45.8,12.27,8.30452, 
47.11,12.83,8.325534, 
48.55,12.99,8.346789, 
48.18,12.66,8.368007, 
46.56,12.07,8.389066, 
46.13,12.67,8.410711, 
45.76,12.79,8.432176, 
48.22,12.93,8.45345, 
45.92,12.88,8.474584, 
46.71,12.9,8.496337, 
46.62,12.55,8.517975, 
45.21,12.7,8.539932, 
48.25,12.78,8.561315, 
46.96,13.5,8.582332, 
42.5,12.33,10.080876, 
77.02,17.3,10.1231, 
118.37,21.72,10.166223, 
122.62,25.01,10.197201, 
91.21,16.21,10.216868, 
81.94,14.34,10.235878, 
78.95,12.81,10.254862, 
70.41,12.84,10.274429, 
55.27,12.96,10.294014, 
58.65,12.64,10.313806, 
55.56,13.4,10.33403, 
56.41,12.22,10.35411, 
57.23,12.83,10.374097, 
57.03,13.65,10.39419, 
57.12,13.88,10.414179, 
57.79,12.88,10.433821, 
56.16,12.8,10.454139, 
56.25,12.89,10.474034, 
56.82,12.49,10.49442, 
53.65,11.97,10.515339, 
56.75,13.38,10.535546, 
56.79,12.87,10.556243, 
55.6,12.84,10.577755, 
54.94,13.32,10.599181, 
56.81,12.75,10.61936, 
56.1,13.27,10.639839, 
55.48,12.61,10.661596, 
57.06,14.07,10.683248, 
57.3,13.72,10.70333, 
55.73,13.3,10.723896, 
55.66,13.76,10.745708, 
56.98,13.29,10.767368, 
57.37,13.17,10.787495, 
55.48,14.62,10.808202, 
55.3,12.64,10.830073, 
56.02,12.1,10.851739, 
57.07,13.51,10.871699, 
55.97,12.36,10.892445, 
55.28,13.55,10.914281, 
56.75,12.9,10.935983, 
56.82,13.12,10.955967, 
54.72,12.39,10.97684, 
55.98,13.52,10.998537, 
57.99,12.84,11.020038, 
55.97,13.51,11.039725, 
57.58,13.4,11.060734, 
55.91,13.51,11.082344, 
55.42,13.89,11.103669, 
57.2,12.74,11.124002, 
57.39,12.82,11.144473, 
54.73,12.61,11.166092, 
57.81,13.13,11.187628, 
58.17,13.68,11.207214, 
56.52,13,11.227394, 
55.71,13.53,11.248953, 
58.84,12.85,11.268773, 
57.72,12.37,11.289324, 
56.54,13.21,11.310905, 
55.36,13.28,11.332477, 
59.12,13.52,11.35241, 
54.66,13.07,11.373281, 
57.53,13.11,11.394777, 
57.23,12.68,11.416205, 
56.24,13.45,11.435762, 
58.48,13.19,11.456658, 
55.41,13.2,11.477906, 
57.77,12.44,11.499108, 
56,13.01,11.518903, 
56.72,13.61,11.539381, 
57.12,12.83,11.560298, 
57.3,13.09,11.581053, 
55.83,13.08,11.600918, 
57.67,12.74,11.621385, 
58.74,12.83,11.642126, 
54.89,12.98,11.662148, 
57.29,13.19,11.682415, 
58.54,13.23,11.703339, 
54.04,13.17,11.724156, 
58.58,13.39,11.744123, 
56.96,12.97,11.76476, 
57.51,13.01,11.785679, 
55.37,13.35,11.806587, 
56.43,13.11,11.826592, 
57.55,13.12,11.847218, 
58.16,13.03,11.867745, 
57.1,13.48,11.887634, 
57.52,13.23,11.908064, 
56.88,13.08,11.928672, 
57.84,12.96,11.948743, 
56.54,13.08,11.969189, 
57.35,12.7,11.989842, 
56.77,12.47,12.01048, 
58.34,13.67,12.030726, 
57.37,12.42,12.050996, 
57.56,13.05,12.071257, 
57.41,12.88,12.091395, 
57.35,12.27,12.112403, 
57.14,13.25,12.132676, 
57.35,12.94,12.152912, 
60.16,13.31,12.173171, 
57.34,12.99,12.193445, 
57.7,13.02,12.213632, 
57.07,13.83,12.234315, 
58.02,12.79,12.254955, 
55.94,13.66,12.275599, 
59.03,13.1,12.295449, 
57.12,12.98,12.315868, 
55.68,12.68,12.336426, 
59.73,13.27,12.356604, 
56.49,12.93,12.377121, 
55.93,13.24,12.397763, 
58.2,13.73,12.41835, 
56.63,13.15,12.438429, 
57.12,13.34,12.458899, 
58.99,12.73,12.479313, 
57.69,14.17,12.499346, 
56.35,12.37,12.51968, 
56.15,12.19,12.540047, 
60.14,13.44,12.560242, 
56.94,12.63,12.580726, 
55.98,13.36,12.601174, 
59.85,13.05,12.621534, 
56.71,13.24,12.641951, 
56.37,13.01,12.662406, 
58.76,13.13,12.682925, 
56.64,13.65,12.703115, 
56.52,13.12,12.723607, 
58.87,12.92,12.743959, 
56.52,12.36,12.764133, 
56.93,13.44,12.784545, 
56.21,12.56,12.804904, 
60.11,13.47,12.825242, 
55.47,12.87,12.846026, 
58.95,13.39,12.866605, 
54.57,13.69,12.887195, 
60.2,13.09,12.907231, 
57.13,13.03,12.927887, 
55.51,13.19,12.948632, 
58.08,13.17,12.96879, 
54.94,13.29,12.989899, 
59.26,12.8,13.010265, 
56.82,13.3,13.031128, 
55.63,12.83,13.051314, 
57.44,13.03,13.072182, 
57.78,13.22,13.092565, 
58.22,13.58,13.113137, 
56.75,12.93,13.13432, 
58.32,12.55,13.154436, 
54.99,13.56,13.175366, 
58.92,13.34,13.195532, 
55.98,13.07,13.216514, 
58.76,12.83,13.236924, 
57.69,13.09,13.257528, 
55.3,12.61,13.278924, 
57.25,12.52,13.29991, 
56.73,13.17,13.320331, 
58.65,13.88,13.340914, 
54.47,13.74,13.362533, 
56.98,14.14,13.383925, 
57.31,14.29,13.404128, 
55.6,13.45,13.424972, 
56.72,13.37,13.446565, 
57.09,12.84,13.46804, 
57.55,14.27,13.48837, 
55.86,13.37,13.508978, 
56.32,13.12,13.530562, 
56.74,12.83,13.551925, 
57.96,13.51,13.5722, 
56.33,13.6,13.593981, 
57.82,13.32,13.615291, 
54.5,13.59,13.636817, 
57.91,13.21,13.656884, 
55.43,13.63,13.678419, 
56.9,13.32,13.700044, 
55.28,13.51,13.721423, 
58.84,14.38,13.741543, 
55.3,14.32,13.763099, 
56.17,14.07,13.784092, 
55.59,14.03,13.806159, 
56.68,14.28,13.827833, 
57.41,14.42,13.84763, 
55.63,13.74,13.86916, 
54.63,13.31,13.891038, 
56.03,12.66,13.912762, 
57,13.75,13.932719, 
54.5,12.77,13.954431, 
56.4,13.5,13.976286, 
55.29,13.71,13.998358, 
56.13,13.5,14.020081, 
58.39,14.08,14.040172, 
54.44,12.95,14.061696, 
54.54,13.74,14.083326, 
56.99,12.85,14.104877, 
56.54,13.28,14.124538, 
59.3,13.62,14.143868, 
54.42,12.69,14.164987, 
59.15,14.62,14.185484, 
54.77,15.3,14.206502, 
55.97,12.93,14.227879, 
56.19,12.49,14.249096, 
56.21,13.28,14.26895, 
55.8,12.65,14.289802, 
52.62,12.42,14.311199, 
56.88,12.37,14.3322, 
55.2,12.96,14.35266, 
55.4,12.27,14.373432, 
55.23,13.17,14.394921, 
55.55,11.97,14.416186, 
55.76,12.98,14.43609, 
54.76,12.92,14.456842, 
55.8,12.8,14.478634, 
55.83,13.05,14.500308, 
57.5,15.9,14.520221, 
55.73,15.58,14.541101, 
56.93,15.48,14.562828, 
56.24,16,14.584517, 
57.8,15.9,14.604618, 
56.41,15.45,14.62512, 
56.86,15.56,14.646872, 
57.62,15.33,14.668322, 
57.04,13.75,14.688595, 
55.09,16.11,14.709657, 
56.12,13.26,14.73113, 
57.62,12.75,14.752457, 
56.54,12.88,14.772637, 
55.77,14.23,14.793895, 
56.08,14.75,14.815507, 
57,14.45,14.836716, 
55.78,14.74,14.856919, 
56.71,12.4,14.877762, 
56.23,12.71,14.899197, 
56.69,12.54,14.920234, 
58.19,12.32,14.94071, 
58.06,12.24,14.961492, 
56.56,12.37,14.982992, 
58.29,12.38,15.004267, 
58.22,11.9,15.024283, 
58.05,12.52,15.045095, 
57.22,12.41,15.066592, 
57.19,12.57,15.088118, 
59.41,12.46,15.108105, 
55.24,12.31,15.12878, 
56.85,12.36,15.150384, 
58.68,12.52,15.172011, 
58.64,12.47,15.191829, 
56.95,12.61,15.212575, 
56.85,12.46,15.234016, 
57.26,12.54,15.255296, 
58.7,12.87,15.275604, 
59.06,12.34,15.296279, 
55.84,12.47,15.317701, 
60.21,12.5,15.338953, 
57.87,12.72,15.35905, 
58.09,11.98,15.379919, 
56.81,12.37,15.401678, 
57.1,12.84,15.423312, 
58.72,12.68,15.443314, 
58.77,12.7,15.463841, 
55.45,12.4,15.48555, 
59.2,12.48,15.505585, 
56.36,12.86,15.527041, 
58.39,12.34,15.547181, 
56.39,12.16,15.56884, 
59.4,12.79,15.588758, 
58.25,12.58,15.609554, 
56.84,12.38,15.631082, 
57.43,12.51,15.652062, 
59.44,13.17,15.672444, 
56.88,12.61,15.693116, 
58.17,12.19,15.714297, 
57.72,12.76,15.735578, 
58.72,12.54,15.755855, 
56.92,12.23,15.776605, 
57.56,12.73,15.797921, 
58.33,12.43,15.819169, 
59.43,12.64,15.839358, 
58.25,12.42,15.86029, 
58.04,12.49,15.88151, 
58.91,13.37,15.901617, 
57.39,12.09,15.922636, 
56.93,12.9,15.942961, 
55.33,12.39,15.964696, 
59.09,12.65,15.984737, 
57.75,12.47,16.005731, 
55.44,12.49,16.027337, 
56.39,12.82,16.048398, 
57.31,12.4,16.068452, 
57.86,12.53,16.089359, 
56.87,12.66,16.110879, 
59.2,12.33,16.132227, 
57.97,12.38,16.152128, 
57.91,12.19,16.173033, 
55.17,11.78,16.194617, 
57.54,12.81,16.216262, 
60.81,12.25,16.236009, 
55.57,12.27,16.256833, 
57.11,12.67,16.278393, 
58.71,11.67,16.300069, 
57.51,12.74,16.319918, 
58.55,12.59,16.34068, 
57.29,12.48,16.362005, 
57.75,12.8,16.383262, 
59.01,11.77,16.403367, 
56.31,12.46,16.424367, 
56.41,12.35,16.446026, 
58.5,11.93,16.467679, 
58.59,13,16.487528, 
57.4,12.15,16.508037, 
57.03,12.34,16.529734, 
55.75,12.58,16.551344, 
59.74,12.66,16.571326, 
57.42,12.52,16.591496, 
56.85,12.18,16.61313, 
57.96,13,16.633185, 
58.21,12.55,16.654061, 
57.14,12.65,16.675429, 
57.86,12.6,16.696342, 
59.29,12.55,16.716846, 
58.6,12.18,16.737659, 
58.53,12.04,16.759173, 
57.95,12.29,16.780099, 
58.5,12.6,16.800498, 
58.71,12.56,16.821185, 
58.31,12.24,16.842388, 
57.75,12.38,16.863692, 
59.33,12.58,16.884054, 
57.51,12.37,16.904663, 
58.3,12.22,16.92592, 
57.64,12.46,16.947148, 
59.54,12.66,16.967311, 
57.05,12.43,16.98826, 
58.81,12.45,17.009593, 
59.56,12.45,17.030864, 
58.04,12.63,17.050981, 
58.53,12.55,17.071653, 
57,12.39,17.093301, 
57.81,12.71,17.113302, 
58.11,12.24,17.134136, 
56.68,12.99,17.15551, 
56.53,12.3,17.176944, 
61.21,12.85,17.196898, 
54.66,12.46,17.217757, 
57.11,12.12,17.239156, 
59.91,12.25,17.260152, 
57.61,12.34,17.280574, 
56.36,12.51,17.301319, 
56.45,12.32,17.322915, 
57.97,12.43,17.34415, 
58.08,12.47,17.364031, 
58.62,12.58,17.384748, 
56.85,12.33,17.40631, 
56.52,12.88,17.427888, 
60.44,12.74,17.44774, 
57.44,12.02,17.468423, 
55.24,12.62,17.490055, 
58.98,12.31,17.511423, 
58.01,12.7,17.531423, 
57.15,12.7,17.551891, 
55.57,12.1,17.573581, 
57.55,12.84,17.595205, 
59.83,12.67,17.615126, 
55.97,12.48,17.635464, 
57.69,12.03,17.657124, 
59,13.42,17.677073, 
56.64,12.24,17.697848, 
57.21,12.45,17.719067, 
57.69,12.85,17.740177, 
58.58,12.85,17.76058, 
58.39,12.26,17.781297, 
55.6,12.4,17.802808, 
59.76,12.13,17.824038, 
57.46,12.53,17.8444, 
58.1,12.54,17.865069, 
57.22,12.13,17.886603, 
56.52,12.92,17.908083, 
