CPU_Power(W),DRAM_Power(W),Time(S),
53.17,12.34,337.078292, 
59.16,12.61,337.098588, 
52.67,12.97,337.118932, 
58.74,13.23,337.139287, 
56.64,12.54,337.159214, 
50.31,12.96,337.178281, 
56.19,12.51,337.198223, 
56.3,13.36,337.217266, 
62.35,15.23,337.237456, 
64.26,14.32,337.257196, 
76.1,16.46,337.277099, 
50.69,12,337.29748, 
54.69,13.32,337.317964, 
53.27,12.54,337.338944, 
49.93,12.06,337.359319, 
53.71,13.16,337.378903, 
52.04,12.95,337.399423, 
55.86,13.53,337.419282, 
60.32,13.14,337.439643, 
55.96,12.95,337.459479, 
64.15,13.5,337.479217, 
62.1,13.17,337.498915, 
63.71,14.16,337.518679, 
64.51,13.94,337.537749, 
63.17,14.23,337.556836, 
65.88,13.96,337.575959, 
63.73,13.18,337.597032, 
67.2,16.83,337.616379, 
55.8,13.13,337.636678, 
57.87,12.89,337.656903, 
58.78,13.15,337.677468, 
56.72,13.17,337.696489, 
53.11,11.88,337.716877, 
58.48,13.52,337.737161, 
56.46,12.71,337.757808, 
46.63,12.43,337.779139, 
46.93,12.06,337.800404, 
49.49,12.51,337.820033, 
53.56,12.42,337.838832, 
53,12.06,337.859425, 
51.2,12.76,337.880554, 
44.58,12.4,337.90107, 
54.02,13,337.920139, 
52.73,12.55,337.939936, 
63.27,13.19,337.960432, 
52.78,12.63,337.980042, 
63.81,13.5,337.999786, 
50.74,11.81,338.019783, 
53.65,12.82,338.039537, 
61.21,13.15,338.059439, 
60.49,14.11,338.079343, 
59.29,12.57,338.099089, 
59.2,14.26,338.118076, 
63.65,14.28,338.137628, 
75.07,16.9,338.15722, 
64.8,12.6,338.17714, 
63.69,13.15,338.197387, 
63.93,13.09,338.217119, 
58.43,12.72,338.237314, 
67.64,12.78,338.257756, 
61.02,13.23,338.276946, 
61.96,12.56,338.29737, 
62.45,13.64,338.316533, 
74.63,16.91,338.335969, 
80.92,18.31,338.355791, 
63.23,13.78,338.375439, 
64.89,15.3,338.395007, 
66.72,14.11,338.414162, 
70.76,14.78,338.433775, 
66.48,14.4,338.453463, 
70.62,15.3,338.472988, 
67.89,14.36,338.492522, 
64.3,14.44,338.512217, 
67.35,13.73,338.531845, 
59.98,14.42,338.551449, 
68.3,12.99,338.570371, 
67.28,12.83,338.589938, 
63.42,14,338.608818, 
69.82,12.77,338.627848, 
67.08,12.68,338.646862, 
68.8,12.67,338.665622, 
72.33,12.98,338.684619, 
66.99,12.67,338.703539, 
64.45,12.32,338.722154, 
69.16,13.39,338.741821, 
66.13,14.1,338.760871, 
70.47,15,338.779941, 
72.77,15.3,338.799045, 
71.1,14.69,338.818634, 
65,15.35,338.838283, 
70.59,15.22,338.857408, 
66.37,14.93,338.877008, 
65.49,15.04,338.89625, 
71.35,14.99,338.915379, 
69.54,15.24,338.935012, 
65.34,13.61,338.954573, 
63.54,14.34,338.974127, 
62.66,12.9,338.993713, 
67.1,12.51,339.01329, 
70.45,14.5,339.032589, 
71.29,13.35,339.051615, 
62.88,13.03,339.070592, 
65.74,12.8,339.090114, 
68.25,12.55,339.109544, 
67.92,13.63,339.128546, 
69.86,12.86,339.148072, 
63.05,12.61,339.168893, 
60.18,14.86,339.18856, 
57.94,13.97,339.493084, 
57.66,12.55,339.512812, 
54.65,12.47,339.533873, 
63.28,13.04,339.55399, 
61.84,12.59,339.574616, 
56.63,12.98,339.594587, 
50.36,13.7,339.615118, 
56.84,14.27,339.635666, 
58.78,14.06,339.656186, 
57.92,14.4,339.67704, 
61.03,14.05,339.697309, 
58.84,14.8,339.71752, 
60.79,14.32,339.737754, 
57.13,13.98,339.758521, 
60.83,14.46,339.779124, 
55.71,13.25,339.800217, 
55.03,13.86,339.821986, 
56.77,13.27,339.844063, 
61.46,13.03,339.863425, 
58.24,13.1,339.88329, 
59.93,12.91,339.902586, 
58.09,12.11,339.922524, 
73.08,13.8,339.941866, 
70.62,13.54,339.960652, 
67.94,13.16,339.979716, 
67.19,13.14,339.998931, 
67.2,13.7,340.018606, 
68.63,15.07,340.037902, 
70.99,14.63,340.05711, 
68.59,14.61,340.076518, 
67.54,14.85,340.095464, 
63.37,14.76,340.114702, 
71.87,15.34,340.133831, 
67.74,14.56,340.153222, 
65.19,14.77,340.17239, 
70.54,15.36,340.191271, 
70.2,14.99,340.21029, 
70.58,14.67,340.229313, 
71.54,15.24,340.248367, 
70.07,14.25,340.267456, 
69.85,12.86,340.286377, 
68.15,14.11,340.305371, 
73.69,15.82,340.32447, 
69.04,14.18,340.343514, 
63.38,13.19,340.363507, 
60.42,13.03,340.383419, 
64.73,13.29,340.403304, 
63.32,13.3,340.423223, 
58.4,13.01,340.443751, 
61.43,14.87,340.464392, 
56.65,13.79,340.485117, 
58.68,14.4,340.504224, 
65.42,15.2,340.524545, 
67.69,15.49,340.544194, 
66.41,14.9,340.564232, 
69.89,14.82,340.583329, 
68.35,14.47,340.602309, 
69.05,15.15,340.621817, 
64.51,14.62,340.641446, 
65.12,14.13,340.661075, 
61.28,14.69,340.680934, 
63.94,13.34,340.699744, 
64.2,12.73,340.719141, 
66.63,13.9,340.738578, 
66.82,13.74,340.757181, 
64.74,14.39,340.777012, 
64.76,13.29,340.796419, 
62.2,12.74,340.816509, 
61.8,12.76,340.83593, 
59.52,12.4,340.854942, 
80.8,16.74,340.874643, 
65.81,15.21,340.893995, 
69.24,14.97,340.913219, 
68.44,13.91,340.932705, 
65.5,14.51,340.951747, 
63.62,14.72,340.970791, 
67.67,15.38,340.990355, 
59.29,14.38,341.010569, 
62.97,14.68,341.030628, 
56.27,14.54,341.050819, 
59.6,14.04,341.071426, 
61.73,14.47,341.091482, 
64.95,14.37,341.111734, 
60.16,13.81,341.130915, 
62.98,12.98,341.150693, 
67.56,13.67,341.169761, 
63.28,12.67,341.189397, 
60.35,12.43,341.208585, 
61.5,12.99,341.228435, 
62.47,12.72,341.248178, 
66.5,12.77,341.267934, 
60.61,12.87,341.28808, 
51.12,12.99,341.309006, 
58.59,15.42,341.329069, 
61.2,14.68,341.34905, 
59.76,14.57,341.368341, 
63.4,15,341.387987, 
58.02,14.43,341.408021, 
59.95,14.63,341.427871, 
58.52,13.58,341.447851, 
59.42,14.69,341.468357, 
59.04,14.63,341.489249, 
60.01,14.41,341.509564, 
58.9,13.59,341.530489, 
59.65,14.25,341.550638, 
58.4,12.68,341.571413, 
57.95,14.13,341.591413, 
60.4,12.55,341.611458, 
57.58,12.95,341.631974, 
66.1,12.76,341.651281, 
64.15,13.01,341.671022, 
64.28,12.39,341.690797, 
58.24,12.7,341.709917, 
60.45,12.61,341.729819, 
53.62,14.04,341.750742, 
59.53,13.94,341.770729, 
64.5,15.14,341.790088, 
63.4,15.17,341.80918, 
66,14.79,341.828531, 
69.52,14.85,341.847705, 
63.23,14.91,341.867121, 
65.73,14.67,341.88621, 
66.15,14.55,341.90615, 
67.73,14.94,341.925567, 
65.18,14.19,341.945521, 
59.64,14.08,341.964574, 
66.36,13.89,341.983669, 
62.05,12.85,342.003496, 
63.43,13.66,342.022726, 
66.81,12.96,342.042351, 
66.02,13.06,342.061446, 
60.03,13.7,342.081058, 
65.83,14.46,342.099919, 
64.85,12.39,342.118891, 
62.93,13.16,342.138678, 
70.53,16.57,342.15879, 
62.16,14.34,342.178264, 
68.27,15.91,342.198248, 
61.82,14.08,342.217362, 
65.49,15.36,342.237286, 
61.92,14.27,342.256948, 
61.43,14.17,342.276883, 
63.98,15.03,342.296669, 
61.32,14.68,342.316461, 
68.33,14.94,342.335708, 
63.28,14.68,342.354841, 
61.87,13.8,342.375247, 
58.25,13.65,342.394783, 
59.68,14.29,342.414361, 
58.95,12.62,342.434762, 
58.34,13.19,342.454652, 
62.59,13.46,342.47477, 
55.86,12.37,342.495101, 
68.24,13.67,342.5143, 
71.07,14.47,342.53339, 
68.37,13.69,342.55295, 
63.57,13.2,342.572494, 
57.55,12.79,342.592495, 
74.07,16.87,342.612275, 
59.98,14.47,342.632078, 
66.17,15.47,342.65121, 
63.74,14.6,342.670306, 
58.56,14.5,342.689994, 
63.02,14.2,342.710225, 
65.03,15,342.729526, 
59.34,14.67,342.749937, 
60.56,15.08,342.770281, 
64.35,14.96,342.790057, 
66.72,15,342.809208, 
56.31,13.73,342.829048, 
55.12,13.9,342.849899, 
63.38,14,342.870129, 
57.74,12.77,342.890666, 
63.04,13.42,342.910449, 
61.51,12.74,342.930341, 
63.35,13.19,342.950215, 
67.61,12.69,342.969293, 
67.64,13.3,342.988402, 
64.59,13.29,343.007374, 
62.32,11.96,343.027045, 
65.73,13.52,343.046138, 
61.33,13.48,343.065964, 
48.63,13.94,343.087199, 
61.23,15.42,343.107282, 
48.57,14.2,343.128018, 
50.11,13.85,343.149747, 
55.62,15.66,343.169002, 
67.77,16,343.188551, 
72.08,17.97,343.210076, 
58.5,14.97,343.22957, 
58.34,14.82,343.249727, 
57.43,14,343.269804, 
56.51,13.96,343.29005, 
51.41,13.88,343.311066, 
59.4,13.49,343.331888, 
55.02,13.02,343.352128, 
53.54,12.48,343.373524, 
47.4,12.54,343.395181, 
61.61,13.86,343.414202, 
61.8,13.82,343.432973, 
68.07,14.13,343.454596, 
72.18,15.46,343.474709, 
56.31,12.94,343.494093, 
56.36,12.75,343.514382, 
54.93,12.7,343.534623, 
53.62,12.16,343.555003, 
52.77,13.22,343.574946, 
56.71,12.52,343.595096, 
54.95,12.91,343.615295, 
57.5,13.13,343.634087, 
60.36,13.1,343.654313, 
53.63,13.3,343.674141, 
53.09,12.53,343.694937, 
59.6,14.21,343.713888, 
60.49,13.67,343.73388, 
76.15,17.37,343.753289, 
55.17,12.11,343.773327, 
53.33,12.51,343.793469, 
59.27,12.93,343.813434, 
56.59,12.64,343.833576, 
60.25,13.1,343.852522, 
65.29,13.31,343.873059, 
55.84,13.46,343.89357, 
54.23,12.43,343.915053, 
57.77,13.15,343.934046, 
62.5,13.51,343.952771, 
65.58,13.2,343.971838, 
63.88,13.34,343.990578, 
62.72,12.83,344.010275, 
57.48,12.65,344.030124, 
64.99,13.12,344.050302, 
52.75,12.68,344.070537, 
52.4,13.32,344.090975, 
48.55,12.17,344.111868, 
55.97,12.96,344.131794, 
53.79,13.02,344.152222, 
50.38,11.89,344.173991, 
55.34,12.75,344.195646, 
51.83,13.02,344.215308, 
63.02,13.04,344.235847, 
51.11,12.54,344.256129, 
51.03,13.21,344.276131, 
61.39,12.52,344.296136, 
59.42,12.54,344.31604, 
56.15,12.74,344.336241, 
54.9,12.66,344.356152, 
54.84,13.13,344.375828, 
48.62,11.72,344.396852, 
51.3,13.33,344.416523, 
57.29,12.99,344.437703, 
61.9,13.55,344.457274, 
42.86,12.65,344.477692, 
57.15,13.35,344.497974, 
57.61,12.77,344.518405, 
52.92,13.18,344.538768, 
50.89,12.41,344.559229, 
56.96,12.74,344.579237, 
46.73,12.03,344.599485, 
42.68,12.4,344.62054, 
40.42,12.83,344.642449, 
43.88,11.94,344.664331, 
42.54,12.8,344.685236, 
44.07,12.57,344.707102, 
43.92,12.06,344.728724, 
43.65,11.86,344.750927, 
43.04,12.42,344.772916, 
44.43,12.54,344.793767, 
42.9,12.2,344.815998, 
44.74,12.56,344.837975, 
44.12,12.35,344.860052, 
45.89,13.18,344.87984, 
59.85,12.49,344.900517, 
54.15,13.25,344.922166, 
58.46,13.45,344.944349, 
58.29,14.63,344.963361, 
80.6,17.56,344.982238, 
59.75,12.83,345.001232, 
54.25,12.25,345.021286, 
49.98,12.31,345.041827, 
63.07,13.04,345.060784, 
66.89,14.06,345.079563, 
62.79,17.04,345.102712, 
72.59,13.44,345.121523, 
61.28,13.06,345.141351, 
57.33,12.76,345.161702, 
58.99,12.86,345.181421, 
55.12,13.07,345.201107, 
55.73,12.65,345.221948, 
51.41,13.12,345.241646, 
61.39,12.76,345.261657, 
62.69,12.75,345.280972, 
56.03,12.46,345.301054, 
57.85,12.99,345.320626, 
58.03,12.65,345.340348, 
56.7,12.97,345.360003, 
63.46,13.1,345.379971, 
59.39,13.19,345.39925, 
61.64,12.91,345.41802, 
53.64,12.54,345.437097, 
53.27,12.55,345.4562, 
55.64,12.35,345.476462, 
58.67,13.35,345.495563, 
56.34,12.38,345.514923, 
57.63,13.08,345.534501, 
58.23,12.58,345.553795, 
55.02,12.6,345.573797, 
52.97,12.91,345.592981, 
56.21,12.3,345.613598, 
57.08,13.12,345.633761, 
49.19,12.47,345.654642, 
52.05,12.55,345.674504, 
63.96,13.56,345.694234, 
60.06,12.39,345.714431, 
55.5,13.12,345.735705, 
58.72,12.99,345.755691, 
57.58,12.6,345.77607, 
52.75,12.69,345.796454, 
46.35,12.76,345.816707, 
52.05,12.29,345.837494, 
52.17,12.97,345.857758, 
56.79,13.29,345.878579, 
55.9,12.97,345.89735, 
51.37,12.66,345.917122, 
55.91,12.51,345.938332, 
54.08,13.16,345.958021, 
56.77,12.57,345.977091, 
65.6,13.18,345.996235, 
61.55,12.99,346.015349, 
62.39,12.82,346.034155, 
56.26,13.04,346.054036, 
57.18,12.86,346.07324, 
50.71,12.26,346.093913, 
53.07,12.63,346.114968, 
48.02,12.74,346.134613, 
54.03,12.42,346.155437, 
55.66,13.1,346.175476, 
56.73,12.64,346.196217, 
55.5,12.88,346.215164, 
58.54,12.4,346.234857, 
54.18,12.27,346.25524, 
61.23,14.06,346.274751, 
53.93,12.06,346.29442, 
55.9,13.05,346.314497, 
47.56,12.22,346.333637, 
51.43,12.15,346.35364, 
55.32,12.95,346.374236, 
52.01,12.58,346.395257, 
55.67,12.89,346.415266, 
56.52,12.64,346.435443, 
54.3,12.83,346.456479, 
59.37,12.85,346.476218, 
57.35,13.39,346.497036, 
68.23,15.09,346.516169, 
62.95,15.26,346.536011, 
66.77,13.83,346.555317, 
53.53,11.99,346.5753, 
49.84,12.55,346.595727, 
52.02,12.63,346.616285, 
60.5,13.27,346.635934, 
52.51,11.94,346.656435, 
56.86,12.39,346.67659, 
53.03,12.54,346.695873, 
50.71,11.99,346.716084, 
53.14,12.9,346.737244, 
62.16,14.12,346.755865, 
66.57,13.77,346.774601, 
73.91,17.76,346.793508, 
55.26,12.74,346.813339, 
59.3,13.38,346.833663, 
49.33,12.7,346.853392, 
54.57,12.62,346.873536, 
52.92,13.17,346.893292, 
53.87,12.55,346.913341, 
54.05,12.89,346.933812, 
51.2,12.49,346.953347, 
54.38,12.57,346.974095, 
43.06,12.47,346.99495, 
52.99,12.85,347.014621, 
53.37,13.35,347.033958, 
53.96,12.74,347.054549, 
47.24,12.23,347.075021, 
49.61,12.48,347.096121, 
49.94,12.9,347.116157, 
57.67,12.91,347.136812, 
52.65,12.6,347.156252, 
53.82,12.81,347.175875, 
56.48,12.31,347.195094, 
52.27,12.57,347.215579, 
45.17,12.67,347.236764, 
52.68,12.64,347.257229, 
53.25,12.69,347.27727, 
58.08,12.73,347.297823, 
59.14,12.8,347.31809, 
51.27,12.56,347.338403, 
61.01,13.16,347.357848, 
53.2,12.84,347.377102, 
55.89,13.54,347.396797, 
58.81,13.56,347.416232, 
53.37,12.14,347.436523, 
46.79,12.85,347.456639, 
53.86,12.49,347.478178, 
59.4,13.21,347.497425, 
59.49,13.17,347.516335, 
56.62,12.61,347.53527, 
57.91,12.25,347.554939, 
56.31,12.96,347.575313, 
53.21,12.66,347.596959, 
54.87,14.44,347.617363, 
79.98,17.48,347.637555, 
68.78,14.57,347.656687, 
68.56,13.63,347.67635, 
75.41,17.76,347.695458, 
59.93,12.57,347.715194, 
48.99,12.93,347.735535, 
57.43,12.97,347.755816, 
56.63,12.97,347.775124, 
59.05,12.83,347.794932, 
56.75,12.73,347.814984, 
61.1,12.82,347.834059, 
54.16,13.3,347.853774, 
52.79,12.49,347.872804, 
63.76,13.49,347.89194, 
53.01,12.47,347.91174, 
56.89,12.62,347.930902, 
61.67,12.62,347.950263, 
53.46,12.51,347.96953, 
57.38,13.01,347.989509, 
50.53,12.56,348.01006, 
56.94,12.92,348.030354, 
53.76,12.93,348.050559, 
53.97,12.65,348.07139, 
56.66,12.71,348.090874, 
57.52,12.97,348.110439, 
52.78,12.37,348.130984, 
55.45,12.43,348.15116, 
56.35,13.05,348.171028, 
52.33,12.09,348.190893, 
61.08,13.09,348.209779, 
57.98,12.84,348.229626, 
53.31,12.81,348.249643, 
52.54,12.51,348.269762, 
59.27,13.17,348.289781, 
54.96,12.79,348.310091, 
54.16,12.66,348.330476, 
62.96,13.56,348.349333, 
59.73,13.33,348.369155, 
49.42,11.99,348.389589, 
49.85,12.32,348.409604, 
49.21,12.56,348.429006, 
47.05,11.44,348.44991, 
53.96,12.16,348.470696, 
52.96,12.85,348.49089, 
53.65,12.1,348.510031, 
49.37,13.08,348.529469, 
55.3,12.6,348.550145, 
51.61,12.47,348.570668, 
53.73,13.05,348.590487, 
56.47,13.32,348.610202, 
42.93,11.97,348.631061, 
53.99,13.22,348.652624, 
58.09,13.64,348.672345, 
52.13,12.49,348.692823, 
49.86,12.61,348.713388, 
44.51,12.46,348.732705, 
56.21,13.2,348.75273, 
59.74,12.79,348.771912, 
58.89,13.34,348.791, 
57.67,12.71,348.810877, 
52.68,13.21,348.830873, 
52.04,12.63,348.850982, 
43.4,12.66,348.872349, 
45.34,12.51,348.893497, 
43.46,12.15,348.91335, 
53.13,12.72,348.933394, 
49.68,12.6,348.954505, 
48.1,12.24,348.974659, 
60.1,12.94,348.995376, 
52.9,12.49,349.015528, 
53.48,12.44,349.034932, 
58.09,12.19,349.054059, 
54.33,12.66,349.074777, 
46.54,11.85,349.09615, 
50.76,13.22,349.116823, 
49.05,12.35,349.137405, 
54.05,12.57,349.159259, 
47.85,13.07,349.179081, 
55.34,12.49,349.200374, 
50.27,12.51,349.220696, 
55.29,13.33,349.240612, 
54.43,12.18,349.259564, 
59.89,13.09,349.278462, 
59.62,12.64,349.297681, 
58.43,13.12,349.318141, 
64.02,13.37,349.337672, 
51.46,12.35,349.357962, 
54.77,12.36,349.378776, 
62.19,13.33,349.399395, 
51.85,12.22,349.420048, 
53.67,12.64,349.439118, 
60.02,12.64,349.459202, 
50.75,12.55,349.479878, 
60.52,13.33,349.500196, 
47.3,11.96,349.521092, 
48.25,12.97,349.541026, 
53.41,13.39,349.560915, 
47.08,12.44,349.581503, 
45.16,12.08,349.603399, 
43.25,12.49,349.625423, 
44.56,12.84,349.646105, 
44.4,12.24,349.667568, 
44.22,12.45,349.688999, 
44.01,12.37,349.711118, 
43.02,12.15,349.733256, 
43.89,12.5,349.753943, 
43.82,11.94,349.775545, 
45.45,12.42,349.797274, 
45.16,12.37,349.819642, 
43.05,12.29,349.84208, 
42.93,12.3,349.864505, 
45.93,12.78,349.88549, 
43.4,12.36,349.907254, 
44.81,12.65,349.929025, 
46.04,12.48,349.950653, 
49.91,12.9,349.970312, 
51.59,12.51,349.990862, 
48.65,13.01,350.01207, 
47.74,11.99,350.03405, 
44.84,12.64,350.055915, 
44.4,12.74,350.077069, 
45.68,12.39,350.099026, 
46.95,12.93,350.120402, 
47.2,11.93,350.142131, 
43.89,12.35,350.164111, 
45.31,12.77,350.185117, 
46.32,12.91,350.207029, 
46.44,12.17,350.228699, 
45.88,12.52,350.250844, 
44.86,12.48,350.272421, 
45.46,11.74,350.293498, 
45.18,12.6,350.315436, 
46.88,12.58,350.336816, 
47.41,12.51,350.358386, 
44.54,12.3,350.380442, 
44.93,12.27,350.40135, 
45.72,12.08,350.423309, 
45.09,12.75,350.444918, 
45.72,12.58,350.466943, 
44.89,12.56,350.488836, 
45.25,12.19,350.509814, 
46.15,12.18,350.531179, 
46.29,12.65,350.551227, 
57.02,13.1,350.570816, 
59.32,12.55,350.590233, 
55.33,12.36,350.610143, 
52.77,13.05,350.630058, 
60.46,13.02,350.649904, 
62.52,12.86,350.669119, 
56.84,12.48,350.688633, 
64.15,13.04,350.707543, 
65.62,12.91,350.726455, 
63.93,12.51,350.745891, 
58.81,13.2,350.765063, 
59.45,12.7,350.784957, 
56.72,13.2,350.805592, 
52.71,12.02,350.826356, 
50.43,12.64,350.847344, 
51.51,12.88,350.866774, 
54.19,12.72,350.887157, 
53.45,12.38,350.907503, 
59.52,12.39,350.926967, 
58.58,12.76,350.947287, 
58.8,13.12,350.965585, 
61.89,12.39,350.985534, 
54.59,12.9,351.004689, 
62.26,12.97,351.023814, 
64.08,13.01,351.043879, 
59.82,12.59,351.062799, 
62.16,12.77,351.081974, 
60.92,12.71,351.10077, 
59.65,12.91,351.120343, 
53.94,12.79,351.140581, 
58.57,12.49,351.160978, 
65.51,13.41,351.180095, 
55.1,12.35,351.2002, 
54.5,12.89,351.220361, 
61.91,13.09,351.239881, 
52.65,12.53,351.260281, 
53.42,12.94,351.281125, 
50.78,12.46,351.301476, 
51.97,12.95,351.322227, 
55.16,12.71,351.341535, 
61.9,12.8,351.361324, 
65.31,14.12,351.380741, 
65.4,14.38,351.40095, 
70.01,17.14,351.420989, 
64.79,13.18,351.440365, 
53.68,12.6,351.461824, 
56.29,12.52,351.481225, 
67.69,12.93,351.500056, 
67.44,13.45,351.518472, 
53.33,12.93,351.538846, 
52.72,12.49,351.559472, 
50.76,12.82,351.580497, 
52.31,12.66,351.600996, 
51.8,12.38,351.622381, 
47.25,12.64,351.642188, 
59.25,13.08,351.661541, 
61.51,12.76,351.681277, 
58.84,12.21,351.700511, 
61.01,12.76,351.719625, 
63.53,12.66,351.738878, 
57.75,12.57,351.758566, 
58.43,13.19,351.777621, 
67.73,14.15,351.796599, 
78.49,17.49,351.81778, 
65.84,13.72,351.836807, 
68.86,13.08,351.855703, 
70.6,13.06,351.874754, 
66.97,13.02,351.893763, 
59.81,12.48,351.913253, 
63.99,12.83,351.933516, 
67.86,13.59,351.953067, 
64.44,12.68,351.972287, 
66.63,13.5,351.992819, 
60.77,15.35,352.01261, 
60.33,14.66,352.031637, 
64.65,14.75,352.051114, 
65.69,14.8,352.070841, 
63.47,14.44,352.090387, 
65.15,15.17,352.109737, 
67.25,14.93,352.128932, 
71.65,14.93,352.148547, 
60.81,14.49,352.168174, 
62.66,14.5,352.189081, 
63.22,15.87,352.208372, 
71.62,17.92,352.229307, 
72.21,13.55,352.248202, 
71.4,13.56,352.267156, 
71.35,13.62,352.285654, 
70.71,13.23,352.304486, 
72.28,12.34,352.323125, 
66.89,12.26,352.34205, 
68.41,12.2,352.361218, 
71.9,13.26,352.380377, 
63.94,12.54,352.399611, 
71.38,14.2,352.418955, 
68.32,14.64,352.438854, 
72.04,14.95,352.457983, 
72.11,14.87,352.477144, 
72.03,14.59,352.496194, 
70.89,14.73,352.515479, 
69.93,14.24,352.534954, 
63.53,14.34,352.555279, 
65.85,15.45,352.57486, 
69.17,14.62,352.59458, 
64.83,14.47,352.614335, 
67.52,14.47,352.634239, 
68.25,14.38,352.654088, 
60.72,12.13,352.674161, 
63.32,12.89,352.694377, 
63.31,13.01,352.714475, 
72.79,12.84,352.733116, 
66.71,12.77,352.751749, 
70.73,12.99,352.771425, 
67.84,13,352.791131, 
67.01,12.65,352.81107, 
72.02,13.33,352.830286, 
72.88,15.22,352.849428, 
77.99,18.91,352.871282, 
82.15,15.81,352.890338, 
71.83,15.07,352.909353, 
68.98,14.59,352.928551, 
70.47,14.55,352.948164, 
67.33,15.01,352.967744, 
65.32,14.88,352.987194, 
66.83,14.81,353.006861, 
69.75,14.72,353.025859, 
71.69,13.67,353.045357, 
61.74,14.22,353.065247, 
65.62,14.34,353.08444, 
74.82,12.8,353.103262, 
69.44,13.67,353.122214, 
68.76,12.83,353.141563, 
67.29,12.26,353.160889, 
63.95,12.6,353.179784, 
67.6,13.07,353.198833, 
67.09,12.64,353.217669, 
68.15,12.77,353.236821, 
70.37,13.04,353.255749, 
73.42,14.07,353.274519, 
74.57,15.03,353.293398, 
69.22,14.35,353.312333, 
72.79,14.47,353.331281, 
71.76,15.15,353.350173, 
68.74,14.98,353.369089, 
72.08,14.96,353.38804, 
70.21,14.89,353.407197, 
70.28,15,353.426029, 
66.39,14.77,353.445451, 
69.44,14.37,353.464239, 
68.84,13.6,353.483278, 
66.92,14.35,353.502372, 
64.67,12.77,353.521417, 
65.37,13.76,353.540564, 
68.19,13.14,353.559644, 
67.76,13.29,353.578903, 
66.48,12.85,353.598147, 
73.73,13.97,353.61705, 
71.18,14.94,353.635812, 
69.44,13.39,353.654908, 
64.32,12.4,353.6738, 
85.68,17.47,353.693064, 
61.22,14.54,353.71205, 
67.42,15.11,353.73118, 
62.51,14.56,353.750702, 
65.02,14.93,353.770266, 
63.48,14.84,353.789523, 
62.44,14.45,353.808984, 
61.43,14.46,353.828903, 
57.53,14.23,353.848907, 
61.8,14.53,353.867901, 
67.09,14.5,353.886873, 
67.51,14.68,353.906056, 
63.96,14.88,353.925225, 
65.09,13.61,353.944187, 
61.92,12.9,353.96315, 
65.97,13.18,353.982012, 
65.45,13.11,354.001419, 
68.06,13.52,354.020649, 
69.73,13.69,354.039674, 
74.54,14.34,354.0586, 
70.13,13.62,354.077516, 
65.88,12.31,354.096448, 
78.86,17.14,354.115597, 
67.35,14.3,354.13493, 
65.87,14.9,354.15418, 
68.43,15.42,354.173779, 
70.49,16.39,354.193345, 
88.35,19.48,354.212383, 
69.02,14.78,354.231522, 
65.41,14.82,354.250651, 
70.7,14.82,354.269676, 
72.79,15.8,354.288862, 
68.74,14.76,354.308002, 
71.67,13.78,354.327245, 
68.74,14.94,354.346458, 
68.66,13.63,354.365514, 
64.65,12.39,354.384757, 
66.51,13.52,354.404197, 
66.32,13.11,354.423196, 
68.51,14.25,354.442116, 
70.2,13.42,354.46127, 
70.26,13.4,354.480221, 
63.69,12.68,354.500434, 
66.17,13.24,354.520291, 
75.62,16.09,354.540063, 
64.96,14.17,354.55994, 
63.31,14.44,354.579771, 
62.85,14.63,354.599819, 
62.13,14.53,354.619812, 
61.05,14.49,354.640299, 
59.85,14.16,354.6606, 
61.31,13.88,354.680677, 
61.51,14.32,354.701136, 
62.05,14.7,354.721101, 
61.87,14,354.741503, 
61.3,13.62,354.761793, 
60.61,14.6,354.781593, 
63.15,11.94,354.801381, 
61.52,12.95,354.821183, 
60.51,12.79,354.841019, 
62.34,12.8,354.860857, 
60.89,12.03,354.880674, 
60.94,12.37,354.900516, 
57.36,12.65,354.920364, 
61.09,12.62,354.940323, 
61.18,12.65,354.960262, 
55.48,13.02,354.981026, 
59.63,13.9,355.000742, 
62.97,14.95,355.02071, 
65.85,15.07,355.039981, 
65.53,14.02,355.059849, 
63.19,15.18,355.078966, 
70.81,15.17,355.097971, 
75.75,15.2,355.117081, 
73.79,15.46,355.136923, 
69.74,14.56,355.156527, 
68.01,13.79,355.176577, 
67.94,13.97,355.196548, 
66,13.52,355.216057, 
64.39,12.73,355.235935, 
66.62,13.88,355.255135, 
68.9,13.01,355.274961, 
62.99,12.87,355.294519, 
60.74,12.87,355.314167, 
70.91,12.7,355.333929, 
67.63,12.5,355.353256, 
66.9,12.49,355.373412, 
64.67,12.91,355.392934, 
59.88,14.17,355.413224, 
65.13,15.03,355.433272, 
67.39,14.6,355.453075, 
66.89,14.87,355.473121, 
63.08,14.69,355.493307, 
65.76,14.93,355.512967, 
66.17,14.64,355.533458, 
67.79,15.15,355.552704, 
64.76,14.72,355.572727, 
61.22,14.12,355.592389, 
67.17,13.3,355.61166, 
67.94,14.52,355.631377, 
64.33,12.76,355.651502, 
66.54,13.42,355.671052, 
70.69,13.55,355.690816, 
70.92,13.03,355.709845, 
69.48,12.5,355.729002, 
70.4,12.86,355.748249, 
69.26,12.73,355.767866, 
62.91,12.83,355.787162, 
67.25,12.77,355.807292, 
61.99,13.29,355.827353, 
67.56,14.71,355.847226, 
63.66,14.72,355.867178, 
62.82,15.16,355.887099, 
67.85,14.13,355.906129, 
66.49,15.37,355.925919, 
